Feature;Description;Tag
psychologic interventions;behavioral counsel;Yes
psychologic interventions;behavioral impact;Yes
psychologic interventions;behavioral intention;Yes
psychologic interventions;behavioral intervention;Yes
psychologic interventions;behavioral medicine;Yes
psychologic interventions;behavioral pattern;Yes
psychologic interventions;behavioral psychotherapy;Yes
psychologic interventions;behavioral support;Yes
psychologic interventions;behavioral therapy;Yes
psychologic interventions;behaviour change programme;Yes
psychologic interventions;behaviour therapy;Yes
psychologic interventions;behavioural intervention;Yes
psychologic interventions;behavioural support;Yes
psychologic interventions;behavioural therapy;Yes
other interventions;bei chai hu;Yes
other interventions;bei mei gou wen;Yes
other interventions;bei mei sheng ma;Yes
other interventions;bei wu wei zi;Yes
other interventions;belamcanda chinensis;Yes
other interventions;belladonna;Yes
physical interventions;belts;Yes
other interventions;beng da wan;Yes
other interventions;benincasa hispida;Yes
drug;benzylacylouridine;No
other interventions;berberine;Yes
other interventions;berberis;Yes
other interventions;berberis thunbergli;Yes
other interventions;berchemia racemosa;Yes
psychologic interventions;bereavement counselling;Yes
other interventions;berry;Yes
nutritional interventions;beta carotene;Yes
nutritional interventions;beta glucans;Yes
other interventions;betula platyphylla;Yes
drug;bevacizumab;No
nutritional interventions;beverages;Yes
other interventions;bi bo;Yes
other interventions;bi cheng qie;Yes
other interventions;bi ma zi;Yes
other interventions;bi qi;Yes
other interventions;bi xie;Yes
other interventions;bian dou hua;Yes
other interventions;bian xu;Yes
psychologic interventions;bibliotherapy;Yes
physical interventions;bicycling;Yes
other interventions;bidens parviflora;Yes
other interventions;bidens pilosa;Yes
other interventions;bie jia;Yes
nutritional interventions;bifidobacterium;Yes
physical interventions;bike;Yes
physical interventions;bikram;Yes
other interventions;bilberry;Yes
other interventions;binang;Yes
other interventions;bing pian;Yes
other exclusion words;bioavaibility;No
other interventions;biodanza;Yes
nutritional interventions;biofeedback;Yes
psychologic interventions;biofeedback psychology;Yes
nutritional interventions;bioflavonoid;Yes
medical examination;biopsy ;No
other interventions;bioresonance therapy;Yes
other interventions;biota orientalis;Yes
other interventions;biotin;Yes
drug;bisantrene;No
nutritional interventions;bitter melon;Yes
nutritional interventions;bitter orange;Yes
nutritional interventions;black cohosh;Yes
nutritional interventions;black pepper;Yes
other interventions;bladderwrack;Yes
physical interventions;blankets;Yes
drug;bleomycin ;No
other interventions;blepharocalyxin;Yes
other interventions;bless thistle;Yes
other interventions;blettilla striata;Yes
other interventions;blogging;Yes
other interventions;blueberry;Yes
other interventions;blumea balsamifera;Yes
other interventions;bo he;Yes
physical interventions;body base manipulative therapy;Yes
physical interventions;body holders;Yes
psychologic interventions;body image;Yes
physical interventions;body practice;Yes
physical interventions;body work;Yes
physical interventions;bodybuilding;Yes
other interventions;boehmeria;Yes
other interventions;bolbostemma paniculatum;Yes
other interventions;bombox melebicum;Yes
other interventions;bombyx mori;Yes
surgery;bone marrow transplantation;No
other interventions;boron;Yes
drug;bortezomib;No
other interventions;boschniakin glabra;Yes
other interventions;boswellia;Yes
other interventions;boswellia carteri;Yes
other interventions;botanical;Yes
physical interventions;bottles;Yes
other interventions;boussingaultia gracilis;Yes
physical interventions;boxing;Yes
other interventions;brahma rasayana;Yes
nutritional interventions;bran;Yes
nutritional interventions;brassica;Yes
other interventions;brassica cernua;Yes
other interventions;brassica rapa;Yes
nutritional interventions;brassicaceae;Yes
psychologic interventions;break bad news;Yes
physical interventions;breathe exercise;Yes
physical interventions;breathing exercises;Yes
physical interventions;breathlessness intervention;Yes
physical interventions;breconda;Yes
drug;brequinar;No
physical interventions;brief advice intervention;Yes
psychologic interventions;brief psychotherapy;Yes
nutritional interventions;broccoli;Yes
other interventions;bromelai;Yes
other interventions;broussonetia papyrifera;Yes
other interventions;brucea javanica;Yes
drug;bryostatin 1;No
other interventions;bu gu zhi;Yes
other interventions;bu zha ye;Yes
other interventions;buddleia officianalis;Yes
other interventions;bufo bufo asiaticus;Yes
other interventions;bufo bufo gargarizans;Yes
other interventions;bungarus multicinctus;Yes
other interventions;buplerum falcatum;Yes
other interventions;bupleurum chinense;Yes
drug;busulfan;No
other interventions;buthus martensii;Yes
nutritional interventions;butter;Yes
nutritional interventions;butterbur;Yes
nutritional interventions;buttermilk;Yes
nutritional interventions;cabbage;Yes
other interventions;caesalpinia sappan;Yes
other interventions;caffea arabica;Yes
other interventions;caffea robusta;Yes
nutritional interventions;caffeine;Yes
other interventions;cai ji;Yes
nutritional interventions;calcifediol;Yes
other interventions;calcitrum;Yes
nutritional interventions;calcium;Yes
other interventions;calcium carbonate;Yes
other interventions;calcium sulfate;Yes
other interventions;calculus bovis;Yes
other interventions;calculus equi;Yes
other interventions;calendula;Yes
drug;caligranulin;No
nutritional interventions;caloric intake;Yes
nutritional interventions;caloric restriction;Yes
nutritional interventions;calorie diet;Yes
other interventions;calystegia sepium;Yes
other interventions;camellia japonica;Yes
other interventions;camellia sinensis;Yes
other interventions;campanumaea pilosula;Yes
other interventions;campsis grandiflora;Yes
other interventions;camptotheca acuminata;Yes
other interventions;can;Yes
other interventions;can dou;Yes
drug;canarypoxvirus vaccine;No
other interventions;cang er zi;Yes
other interventions;cang zhu;Yes
other interventions;cannabidiol;Yes
other interventions;cannabinoid;Yes
other interventions;cannabis;Yes
other interventions;cannabis indica;Yes
other interventions;cannabis sativa;Yes
other interventions;cao dang gui;Yes
other interventions;cao guo;Yes
other interventions;cao jue ming;Yes
other interventions;cao san qi;Yes
drug;capecitabine;No
medical examination;capnography;No
drug;capsaicin;No
other interventions;capsella bursa pastoris;Yes
other interventions;capsici;Yes
other interventions;capsicum annuum;Yes
other interventions;carapax trionycis;Yes
other interventions;caraway oil;Yes
nutritional interventions;carbohydrate load diet;Yes
nutritional interventions;carbohydrate loading;Yes
nutritional interventions;carbohydrate loading diet;Yes
nutritional interventions;carbohydrate restrict;Yes
nutritional interventions;carbohydrate restricted;Yes
drug;carboplatin;No
drug;carboxyamidotriazole;No
physical interventions;cardiac rehabilitation;Yes
physical interventions;cardiorespiratory fitness;Yes
physical interventions;cardiorespiratory train;Yes
other interventions;cardiospermum halicacabum;Yes
psychologic interventions;care planning;Yes
psychologic interventions;caregiver;Yes
other interventions;carica papaya;Yes
drug;carmustine;No
nutritional interventions;carnitine supplementation;Yes
nutritional interventions;carotenoid;Yes
other interventions;carpesium abrotanoides;Yes
other interventions;carpesium divariecatum;Yes
other interventions;carthamus tinctorius;Yes
other interventions;caryophyllus aromatica;Yes
drug;carzelesin;No
physical interventions;case management program;Yes
other interventions;cassia acutifolia;Yes
other interventions;cassia anfustifolia;Yes
other interventions;cassia fistula;Yes
other interventions;cassia occidentalis;Yes
other interventions;cassia tora;Yes
other interventions;castor oil;Yes
other interventions;catharsius molossus;Yes
invasive treatment;catheter;No
invasive treatment;catheters;No
drug;ccnu;No
other interventions;cecropia plant;Yes
drug;cefepime;No
drug;ceftazidime;No
drug;celecoxib;No
other interventions;celosia argentea;Yes
other interventions;centella asiatica;Yes
other interventions;centipeda minima;Yes
other interventions;centrum silver;Yes
other interventions;cephanoplos setosum;Yes
nutritional interventions;cereal;Yes
other interventions;cervus elaphus;Yes
psychologic interventions;cessation method;Yes
psychologic interventions;cessation program;Yes
other interventions;cha;Yes
other interventions;cha hua;Yes
other interventions;chai hu;Yes
other interventions;chamomile;Yes
other interventions;chan su;Yes
other interventions;chan tou dang gui;Yes
other interventions;chan tui;Yes
other interventions;chang chun teng;Yes
other interventions;chang jie zhu;Yes
other interventions;chang pu;Yes
other interventions;chang shan;Yes
psychologic interventions;change management;Yes
other interventions;chao xian bai xian;Yes
other interventions;chao xian chan;Yes
other interventions;chao xian chan he shou wu;Yes
other interventions;chao xian chan yan hu suo;Yes
other interventions;chao xian hu zhang;Yes
drug;chase;No
other interventions;chasteberry;Yes
other interventions;che qian cao;Yes
other interventions;chelidonium majus;Yes
other exclusion words;chemical;No
drug;chemoembolization;No
drug;chemoimmuno hormonotherapy;No
radiotherapy;chemoradiotherapy;No
other interventions;chemotherapeutic caffeine;Yes
drug;chemotherapy;No
other interventions;chen pi;Yes
other interventions;chen xiang;Yes
other interventions;cheng;Yes
other interventions;chenopodium ambrosioides;Yes
nutritional interventions;cherry;Yes
other interventions;chest wall oscillation;Yes
nutritional interventions;chew gum;Yes
nutritional interventions;chewing;Yes
nutritional interventions;chewing gum;Yes
physical interventions;chi exercise;Yes
other interventions;chi geng teng;Yes
other interventions;chi shi zh;Yes
other interventions;chi xiao dou;Yes
other interventions;chi yu;Yes
other interventions;chinemys reevesii;Yes
other interventions;chinese herbal drugs;Yes
physical interventions;chiropractic;Yes
physical interventions;chiropractic manipulation;Yes
drug;chlorodeoxyadenosine;No
drug;chloroquinoxaline sulfonamide;No
drug;chlorozotin;No
nutritional interventions;cholecalciferol;Yes
other interventions;chondroitin;Yes
other interventions;chong lou;Yes
other interventions;chong wei zi;Yes
drug;chop;No
other interventions;chou cao;Yes
other interventions;chromium;Yes
psychologic interventions;chromotherapies;Yes
psychologic interventions;chromotherapy;Yes
psychologic interventions;chronotherapy;Yes
other interventions;chrysanthemum coronarium;Yes
other interventions;chrysanthemum indicum;Yes
other interventions;chrysanthemun sinense;Yes
other interventions;chu shi zi;Yes
other interventions;chuan bei;Yes
other interventions;chuan da huang;Yes
other interventions;chuan dong zhang ya cai;Yes
other interventions;chuan jin pi;Yes
other interventions;chuan lian zi;Yes
other interventions;chuan niu xi;Yes
other interventions;chuan shan;Yes
other interventions;chuan xinian;Yes
other interventions;chui hui shi song;Yes
other interventions;chun pi;Yes
psychologic interventions;church;Yes
other interventions;ci ji li;Yes
other interventions;ci mao li dou;Yes
other interventions;ci shi;Yes
other interventions;ci wu jia;Yes
other interventions;cibotium barometz;Yes
drug;cidofovir;No
drug;cimetidine;No
other interventions;cimicifuga;Yes
other interventions;cimicifuga foetida;Yes
other interventions;cimicifuga heracleifolia;Yes
other interventions;cimicifuga racemosa;Yes
other interventions;cimicifuga rhizome;Yes
drug;cinchonine;No
other interventions;cineraria;Yes
other interventions;cinnamomum camphora;Yes
other interventions;cinnamomum zeylanicum;Yes
other interventions;cinnamon;Yes
other interventions;cinnamoum cassia;Yes
other interventions;cinnamoum loureirii;Yes
drug;ciprofloxacin;No
other interventions;circium japonicum;Yes
other interventions;cirsium ovalifolium;Yes
other interventions;cirsium segetum;Yes
other interventions;cirsium spicatus;Yes
drug;cis diammine dichloro platinum;No
drug;cisapride;No
drug;cisplatin ;No
drug;cisplatinum;No
other interventions;cistanche salsa;Yes
other interventions;citronellol;Yes
other interventions;citrullus vulgaris;Yes
other interventions;citrus aurantium;Yes
other interventions;citrus decumama;Yes
other interventions;citrus hystrix;Yes
other interventions;citrus maxima;Yes
other interventions;citrus medica;Yes
other interventions;citrus nobilis;Yes
other interventions;citrus paradisi;Yes
other interventions;citrus reticulata;Yes
other interventions;citrus tangerina;Yes
drug;clarithromycin;No
other interventions;clausena excavata;Yes
psychologic interventions;clear heat principle;Yes
other interventions;clematis japonica;Yes
other interventions;clematis terniflora;Yes
other interventions;clerodendron trichotomum;Yes
psychologic interventions;climatotherapy;Yes
other interventions;clinacanthus nutans;Yes
drug;clorodronate;No
other interventions;clove;Yes
drug;cloxifluridine;No
other interventions;cnidium officinale;Yes
other interventions;cocculus indica;Yes
other interventions;cocculus laurifolius;Yes
other interventions;cocoa;Yes
other interventions;coculus thunbergii;Yes
other interventions;coculus trilobus;Yes
other interventions;cocus nucifera;Yes
other interventions;codetron;Yes
other interventions;codonopsis pilosula;Yes
other interventions;coenzyme q;Yes
nutritional interventions;coenzyme q10;Yes
nutritional interventions;coffee;Yes
psychologic interventions;cognitive approach;Yes
psychologic interventions;cognitive assessment;Yes
psychologic interventions;cognitive behavior;Yes
psychologic interventions;cognitive behavior therapy;Yes
psychologic interventions;cognitive behavioral stress management;Yes
psychologic interventions;cognitive behavioral therapy;Yes
psychologic interventions;cognitive behaviour therapy;Yes
psychologic interventions;cognitive behavioural therapy;Yes
psychologic interventions;cognitive behavorial therapy;Yes
psychologic interventions;cognitive intervention;Yes
psychologic interventions;cognitive psychotherapy;Yes
psychologic interventions;cognitive rehabilitation;Yes
psychologic interventions;cognitive remediation;Yes
psychologic interventions;cognitive stimulation;Yes
psychologic interventions;cognitive therapy;Yes
psychologic interventions;cognitively base compassion train;Yes
nutritional interventions;cohen diet;Yes
other interventions;coix lacrym jobi;Yes
physical interventions;cold cap;Yes
physical interventions;cold therapy;Yes
other interventions;colla corii asini;Yes
other interventions;collocalia esculente;Yes
other interventions;colloidal silver;Yes
physical interventions;colon hydrotherapy;Yes
medical examination;colonography;No
psychologic interventions;color therapy;Yes
medical examination;coloscopy;No
medical examination;colposcopy;No
drug;combretastatin a4 phosphate;No
other interventions;comfort care;Yes
other interventions;comfort measure;Yes
other interventions;comfort therapy;Yes
other interventions;commiphora abyssinica;Yes
other interventions;commiphora molmol;Yes
other interventions;commiphora mukul;Yes
psychologic interventions;commitment therapy;Yes
psychologic interventions;communicate;Yes
psychologic interventions;communication;Yes
psychologic interventions;communication skill;Yes
psychologic interventions;community base education;Yes
psychologic interventions;community outreach program;Yes
psychologic interventions;community program;Yes
psychologic interventions;complementary approach;Yes
nutritional interventions;complementary food;Yes
other interventions;complementary medicine;Yes
other interventions;complementary therapy;Yes
other interventions;complementery;Yes
other interventions;comprehensive care;Yes
psychologic interventions;comprehensive rehabilitation;Yes
other interventions;compression bandages;Yes
numerical interventions;computer assist therapy;Yes
numerical interventions;computer assisted instruction;Yes
numerical interventions;computer assisted therapy;Yes
numerical interventions;computer deliver intervention;Yes
numerical interventions;computer program;Yes
numerical interventions;computer systems;Yes
numerical interventions;computers;Yes
numerical interventions;computers handheld;Yes
other interventions;condition therapy;Yes
other interventions;cong bai;Yes
other interventions;conioselinum unvittatum;Yes
other interventions;consolidation workshops;Yes
physical interventions;continuous passive motion therapy;Yes
nutritional interventions;continuous supplementation;Yes
physical interventions;cook workshop;Yes
physical interventions;cool down exercise;Yes
other interventions;cope strategy;Yes
other interventions;coprinus comatus;Yes
other interventions;coptis chinensis;Yes
other interventions;corchorus capsularis;Yes
other interventions;cordyceps sinensis;Yes
other interventions;cordyline stricta;Yes
physical interventions;core strengthen;Yes
other interventions;coriandrum sativum;Yes
other interventions;coriaria sinica;Yes
other interventions;coridius chinensis;Yes
nutritional interventions;corn oil;Yes
other interventions;cornus officinalis;Yes
other interventions;corydalis bulbosa;Yes
other interventions;corydalis decumbens;Yes
other interventions;corydalis remata;Yes
other interventions;corydalis saxicola;Yes
other interventions;corydalis ternata;Yes
other interventions;cosmeceutical;Yes
other interventions;cosmetic care;Yes
other interventions;cosmetic techniques;Yes
other interventions;cosmetic therapy;Yes
other interventions;cosmetics;Yes
other interventions;cosmetology;Yes
nutritional interventions;cottonseed;Yes
drug;coumarin;No
other interventions;counsel;Yes
other interventions;counseling;Yes
other interventions;counselor;Yes
psychologic interventions;couples therapy;Yes
nutritional interventions;cranberry;Yes
physical interventions;craniosacral therapy;Yes
other interventions;crataegus cuneata;Yes
other interventions;crataegus oxyacantha;Yes
other interventions;crataegus  pinnatifida;Yes
nutritional interventions;creatine;Yes
other interventions;cremastra variabilis;Yes
other interventions;crocus sativus;Yes
other interventions;crotalaria sessiliflora;Yes
other interventions;croton;Yes
other interventions;croton tiglium;Yes
nutritional interventions;cruciferous vegetable;Yes
