,Sentence_id,pmid,sentence,tag
133,45,17213498,"Telemedicine applications carry the potential to enhance the quality of life of patients, but studies evaluating telemedicine applications are still scarce",introduction
134,45,17213498, The evidence regarding the effectiveness of telemedicine is limited and not yet conclusive,introduction
135,45,17213498, This study investigated whether telemedicine could be beneficial to the quality of life of cancer patients,introduction
136,45,17213498,,introduction
137,46,16398423,To observe the clinical efficacy of Xiaoshui Decoction (XSD) in treating ascites in patients suffered from primary liver cancer of Pi-deficiency with damp harassment syndrome (PDDHS) as well as to study the effect through the experiment in mice,introduction
138,46,16398423,,introduction
139,47,30145738,Physical activity has been known to improve survival and quality of life of patients with breast cancer,introduction
140,47,30145738," To find factors associated with physical activity, we analyzed the dataset of the multicenter controlled trial of exercise intervention",introduction
141,47,30145738,,introduction
142,48,22321518,"As patients with pancreas and periampullary cancer (PPC) experience improved survival rates and longevity, the focus shifts toward living life while surviving cancer",introduction
143,48,22321518, Fatigue is the most commonly reported symptom in all cancer patients,introduction
144,48,22321518, Exercise has been found to effectively decrease fatigue levels and improve physical functioning in cancer patients,introduction
145,48,22321518,,introduction
146,49,12964130,The quality of medical care by somatically treating physicians has considerable influence on the coping process in cancer patients,introduction
147,49,12964130," In outpatient psychosocial care, information supply and doctor-patient interaction are often considered difficult by the patients",introduction
148,49,12964130, This study therefore investigates the effects of a teaching and training programme on interactional skills of experienced physicians in dealing with cancer patients,introduction
149,49,12964130,,introduction
150,50,14692040,"The current study evaluated the efficacy of a 10-week, group-based, cognitive-behavioral stress management (CBSM) intervention relative to a half-day seminar in improving quality of life (QoL) among men who were treated for localized prostate carcinoma (PC) with either radical prostatectomy (RP) or radiation therapy",introduction
151,50,14692040,,introduction
152,51,29174501,The ProtecT trial has provided level 1 evidence supporting active surveillance for prostate cancer patients with low-risk and intermediate-risk disease,introduction
153,51,29174501, The effect of these findings on the opinions of North American genitourinary (GU) experts regarding the role of active surveillance for these patients has not been previously examined,introduction
154,51,29174501,,introduction
155,52,10391568,This study was designed to identify factors that predict adherence by African American men to prostate cancer education and early detection,introduction
156,52,10391568,,introduction
157,53,10475183,The use of sunscreens on the skin can prevent sunburn but whether long-term use can prevent skin cancer is not known,introduction
158,53,10475183," Also, there is evidence that oral betacarotene supplementation lowers skin-cancer rates in animals, but there is limited evidence of its effect in human beings",introduction
159,53,10475183,,introduction
160,54,10407709,Mammography is an important screening tool for the early detection of breast cancer,introduction
161,54,10407709," However, mammogram screening rates are low, despite interventions to improve them",introduction
162,54,10407709, We investigated two methods to improve mammogram screening and compared mammogram rates among women who received these interventions to mammogram screening rates in a control group,introduction
163,54,10407709, We also investigated the costs involved in these interventions,introduction
164,54,10407709,,introduction
165,55,18725822,Publicly-funded health centers serve disadvantaged populations who underuse colorectal cancer screening (CRC),introduction
166,55,18725822," Because physicians play a key role in patient adherence to screening, provider interventions within health center practices could improve the delivery/utilization of CRC screening",introduction
167,55,18725822,,introduction
168,56,29936464,Breast cancer survivors often report a decrease in physical activity levels and quality of life,introduction
169,56,29936464, The aim of this study was to explore whether a &quot;Kyusho Jitsu&quot; martial arts intervention is feasible and can improve general well-being and physical activity levels in breast cancer survivors,introduction
170,56,29936464,,introduction
171,57,29397328,Deteriorations in cardiorespiratory fitness (V\u02d9o) and body composition are associated with poor prognosis after colorectal cancer treatment,introduction
172,57,29397328," However, the optimal intensity and frequency of aerobic exercise training to improve these outcomes in colorectal cancer survivors is unknown",introduction
173,57,29397328,,introduction
174,58,17633360,To evaluate the intervention effect of Feiji Recipe (FJR) on tumor immune escape,introduction
175,58,17633360,,introduction
176,59,19622708,To test experimentally whether a psychological intervention reduces depression-related symptoms and markers of inflammation among cancer patients and to test one mechanism for the intervention effects,introduction
177,59,19622708, Depression and inflammation are common among cancer patients,introduction
178,59,19622708," Data suggest that inflammation can contribute to depressive symptoms, although the converse remains untested",introduction
179,59,19622708,,introduction
180,60,28237842,"To design, develop and test the effect of an educational initiative to improve risk perception amongst patients attending a high-risk breast cancer clinic",introduction
181,60,28237842, This was achieved through three objectives - 1,introduction
182,60,28237842," identifying an optimal method of presenting risk data, 2",introduction
183,60,28237842," designing and building a risk application, and 3",introduction
184,60,28237842, testing the ability of the application to successfully modify patients perceived risk of cancer,introduction
185,60,28237842,,introduction
186,61,25521772,"The aim of this study was to describe emotion episodes during early and late psychotherapy sessions among women newly diagnosed with gynecological cancer and to examine whether the total number of emotion episodes during early and later sessions was associated with baseline psychological distress, dispositional emotion expressivity, and patient-rated therapeutic progress",introduction
187,61,25521772,,introduction
188,62,16406909,"We tested the effectiveness of preoperative biofeedback assisted behavioral training for decreasing the duration and severity of incontinence, and improving quality of life in the 6 months following radical prostatectomy",introduction
189,62,16406909,,introduction
190,63,8410128,"This study examined the effect of frequent nutritional counseling on oral intake, body weight, response rate, survival, and quality of life in patients with cancer of the lung (small-cell), ovary, or breast undergoing cyclic chemotherapy",introduction
191,63,8410128,,introduction
192,64,11783208,To observe the clinical efficacy of radio- or chemotherapy plus traditional Chinese medicine (TCM) by Syndrome Differentiation in treating brain metastatic tumor,introduction
193,64,11783208,,introduction
194,65,15908668,The efficacy of a home-based physical activity (PA) intervention for early-stage breast cancer patients was evaluated in a randomized controlled trial,introduction
195,65,15908668,,introduction
196,66,25467005,"To evaluate the long-term effects of dietary intervention on gastrointestinal symptoms after highly dose-escalated radiotherapy for localized prostate cancer, using boost with protons or high-dose-rate brachytherapy",introduction
197,66,25467005,,introduction
198,67,8186168,Active participation and asking questions are important ways in which patients can ensure they understand what the doctor has said,introduction
199,67,8186168, This study evaluated a question prompt sheet designed to encourage patients to ask questions in the cancer consultation,introduction
200,67,8186168,,introduction
201,68,29239243,This study aimed to explore the feasibility of an individualized comprehensive lifestyle intervention in cancer patients undergoing curative or palliative chemotherapy,introduction
202,68,29239243,,introduction
203,69,22472463,"To investigate the effects of a pelvic floor rehabilitation program (PFRP) on pelvic floor function and quality of life (QoL) in gynecological cancer survivors in a prospective, randomized, controlled trial",introduction
204,69,22472463,,introduction
205,70,9527321,To study if long-term supplementation with alpha-tocopherol or beta-carotene is associated with cataract prevalence and severity,introduction
206,70,9527321,,introduction
207,71,8214179,The purpose of this study was to ascertain whether group psychotherapy during radiotherapy for cancer significantly decreases patients' emotional and physical distress,introduction
208,71,8214179,,introduction
209,72,27869293,Korean American women have among the lowest rates of cervical cancer screening in the United States,introduction
210,72,27869293, The authors evaluated a multicomponent intervention combining community education with navigation services to reduce access barriers and increase screening rates in this underserved population,introduction
211,72,27869293, It was hypothesized that cervical cancer screening rates would be higher among women who received the intervention program compared with those in the control program,introduction
212,72,27869293,,introduction
213,73,28075038,Change in cognitive ability is a commonly reported adverse effect by breast cancer survivors,introduction
214,73,28075038," The underlying etiology of cognitive complaints is unclear and to date, there is limited evidence for effective intervention strategies",introduction
215,73,28075038, Exercise has been shown to improve cognitive function in older adults and animal models treated with chemotherapy,introduction
216,73,28075038, This proof-of-concept randomized controlled trial tested the effect of aerobic exercise versus usual lifestyle on cognitive function in postmenopausal breast cancer survivors,introduction
217,73,28075038,,introduction
218,74,18949672,We investigated whether acupuncture as a supportive antiemetic approach reduces the need for antiemetic rescue medication during highly emetogenic chemotherapy in pediatric oncology,introduction
219,74,18949672, We report on a multicenter crossover study at 5 tertiary hospitals in Germany,introduction
220,74,18949672,,introduction
221,75,22038523,Conflicting data regarding cardiovascular effects of thiazolidinediones (TZDs) and extra-skeletal effects of vitamin D supported the need for a definitive trial,introduction
222,75,22038523, The Thiazolidinedione Intervention with vitamin D Evaluation (TIDE) trial aimed to assess the effects of TZDs (rosiglitazone and pioglitazone) on cardiovascular outcomes and the effects of vitamin D (cholecalciferol) on cancers and mortality,introduction
223,75,22038523,,introduction
224,76,9808821,Results are reported from a large randomized trial designed to increase fruit and vegetable consumption among callers to the Cancer Information Service (CIS),introduction
225,76,9808821,,introduction
226,77,8018682,"Toward developing attractive and effective means to reduce cancer risks faced by Native American people, this study developed and tested interactive computer software to improve dietary choices and prevent tobacco use among Native American adolescents",introduction
227,77,8018682,,introduction
228,78,26228466,The aim of this trial was to evaluate the effects of yoga on health-related quality of life in patients with colorectal cancer,introduction
229,78,26228466,,introduction
230,79,16157935,"The Big Lung Trial (BLT) was a large, pragmatic trial to evaluate the addition of chemotherapy to primary treatment (ie, surgery, radical radiotherapy, or supportive care) in non-small-cell lung cancer (NSCLC)",introduction
231,79,16157935," In the supportive care group, there was a small but significant survival benefit in patients treated with chemotherapy compared with supportive care alone (no chemotherapy)",introduction
232,79,16157935, A substudy was undertaken to evaluate the quality of life (QoL) implications of the treatment options,introduction
233,79,16157935," QoL was assessed using European Organisation for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaires C30 (QLQ-C30) and LC17, and daily diary cards",introduction
234,79,16157935,,introduction
235,80,23775525,Obese men have an increased risk of prostate cancer (PCa)-specific mortality,introduction
236,80,23775525, Potential mechanisms include insulin and related proteins,introduction
237,80,23775525, We investigate whether a short-term caloric restriction diet in overweight/obese men with newly diagnosed PCa can lead to measurable changes in patient anthropometrics and insulin-related proteins,introduction
238,80,23775525,,introduction
239,81,22614993,The negative attitudes of patients with cancer regarding clinical trials are an important contributor to low participation rates,introduction
240,81,22614993," This study evaluated whether a brief psychoeducational intervention was effective in improving patients' attitudes as well as their knowledge, self-efficacy for decision making, receptivity to receiving more information, and general willingness to participate in clinical trials",introduction
241,81,22614993,,introduction
242,82,10090869,Previous research has shown that breast and cervical cancer screening rates are low among Vietnamese women,introduction
243,82,10090869,,introduction
244,83,28060675,To examine the effectiveness of a health promotion flyer to increase awareness of breast cancer risk and physical activity as a risk reduction strategy in young adult women,introduction
245,83,28060675,,introduction
246,84,20159820,"We examined how an aerobic exercise intervention influenced circulating estradiol, estrone, sex hormone-binding globulin (SHBG), androstenedione, and testosterone levels, which may be involved in the association between physical activity and breast cancer risk",introduction
247,84,20159820,,introduction
248,85,10964333,"To the authors' knowledge, there had been no evidence for the efficacy of psychosocial intervention among Japanese cancer patients",introduction
249,85,10964333, The objective of this study was to determine the effect of a psychosocial group intervention in reducing psychologic distress and enhancing coping in this population in a randomized controlled trial,introduction
250,85,10964333,,introduction
251,86,12764907,"To compare the clinical curative effects between 89Sr and its combination with the Guliu recipe (GLR, a Chinese herbal medicine) in treating multiple bone metastatic tumor of mammary cancer (MBM-MC)",introduction
252,86,12764907,,introduction
253,87,22018935,"Nearly 35% of men treated for prostate cancer (PrCA) will experience biochemically defined recurrence, noted by a rise in PSA, within 10 years of definitive therapy",introduction
254,87,22018935," Diet, physical activity, and stress reduction may affect tumor promotion and disease progression",introduction
255,87,22018935,,introduction
256,88,16418556,"This study was to determine the effects of abdominal breathing training using biofeedback on stress, immune response, and quality of life",introduction
257,88,16418556,,introduction
258,89,17898956,To observe the clinical effect of the combined therapy using argon-helium cryosurgery (Ar-He knife) and Chinese herbal medicine in treating non-small cell lung cancer (NSCLC),introduction
259,89,17898956,,introduction
260,90,25355261,To evaluate the condition of cancer-related fatigue (CRF) in breast cancer patients with chemotherapy and to explore the effect of Yoga on it,introduction
261,90,25355261,,introduction
262,91,28374663,"The aim of this study was to assess the efficacy of meaning-centered group psychotherapy for cancer survivors (MCGP-CS) to improve personal meaning, compared with supportive group psychotherapy (SGP) and care as usual (CAU)",introduction
263,91,28374663,,introduction
264,92,17212568,To evaluate the efficacy of electroacupuncture in preventing anthracycline-based chemotherapy-related nausea and emesis refractory to combination 5HT(3)-antagonist and dexamethasone,introduction
265,92,17212568,,introduction
266,93,12964131,We prospectively evaluated the effects of a six-session psychoeducational intervention held by medical doctors or psychologists in a German acute cancer center setting,introduction
267,93,12964131,,introduction
268,94,24596359,The aim of the study was to investigate how tailored exercise is experienced by cancer survivors,introduction
269,94,24596359,,introduction
270,95,16511899,Decision aids are tools that help patients make specific and deliberative choices among options,introduction
271,95,16511899, This study was a group randomized controlled trial of a novel decision aid to help patients with breast cancer make adjuvant therapy (AT) decisions,introduction
272,95,16511899,,introduction
273,96,18006923,Epidemiologic studies provide evidence that exercise is associated with reduced risk of colon cancer,introduction
274,96,18006923, Exercise may exert protective effects on the colon by influencing prostaglandin production,introduction
275,96,18006923, We hypothesized that an exercise intervention would decrease prostaglandin E(2) concentrations and increase prostaglandin F(2alpha) in colon biopsies compared with controls,introduction
276,96,18006923,,introduction
277,97,10553972,Aminoleban EN contains branched-chain amino acids (BCAA) and is known to be beneficial for the protein-energy malnutrition in cirrhotic patients,introduction
278,97,10553972," Patients suffering from hepatocellular carcinoma often have background cirrhosis, and the present study investigates the effect of Aminoleban EN on these patients after hepatic resection for the primary disease",introduction
279,97,10553972,,introduction
280,98,15684319,"To investigate the impact of dietary counseling or nutritional supplements on outcomes in cancer patients: nutritional, morbidity, and quality of life (QoL) during and 3 months after radiotherapy",introduction
281,98,15684319,,introduction
282,99,27135464,Long-term chemotherapy-related cognitive dysfunction (CRCD) affects a large number of cancer survivors,introduction
283,99,27135464," To the authors' knowledge, to date there is no established treatment for this survivorship problem",introduction
284,99,27135464," The authors herein report results of a small randomized controlled trial of a cognitive behavioral therapy (CBT), Memory and Attention Adaptation Training (MAAT), compared with an attention control condition",introduction
285,99,27135464, Both treatments were delivered over a videoconference device,introduction
286,99,27135464,,introduction
287,100,9128987,Fatigue and loss of physical performance are frequent problems of cancer patients,introduction
288,100,9128987," In a pilot study, the authors evaluated the feasibility and effects of aerobic training in the rehabilitation of cancer patients after completing high dose chemotherapy",introduction
289,100,9128987,,introduction
290,101,24012579,The second most frequently reported post-treatment symptom in cancer survivors are concerns about impaired cognition,introduction
291,101,24012579," Despite numerous studies demonstrating significant impairments in a portion of survivors, information on effective treatments remains an emerging area of research",introduction
292,101,24012579, This study examined the effectiveness of a group-based cognitive rehabilitation intervention in cancer survivors,introduction
293,101,24012579,,introduction
294,102,14524485,The aim of the study was to assess whether the oral intake of cranberry juice cocktail compared with apple juice was associated with a significant difference in urinary symptoms experienced during radical external beam radiation therapy (EBRT) for prostate carcinoma,introduction
295,102,14524485,,introduction
296,103,30293230,"Breast cancer patients receiving hormonal therapies face risks of relapse, increased rates of cardiovascular events, and toxicities of therapy such as aromatase inhibitor (AI)-associated musculoskeletal symptoms (AIMSS)",introduction
297,103,30293230," C-reactive protein (CRP), a marker for inflammation, is associated with breast cancer outcomes",introduction
298,103,30293230, We evaluated whether the olive-derived polyphenol hydroxytyrosol combined with omega-3 fatty acids and curcumin would reduce CRP and musculoskeletal symptoms in breast cancer patients receiving adjuvant hormonal therapies,introduction
299,103,30293230,,introduction
300,104,11973949,The objective of this study was to determine whether reflexology has an impact on the quality of life of patients in the palliative stage of cancer,introduction
301,104,11973949,,introduction
302,105,26643400,Colorectal cancer (CRC) may have a negative impact on a person's quality of life,introduction
303,105,26643400, Psycho-educational interventions for patients with CRC are rarely studied,introduction
304,105,26643400, The purpose of this feasibility trial was to evaluate the effect of a psycho-educational programme (PEP) on the health-related quality of life (HRQL) of patients treated for CRC and anal cancer,introduction
305,105,26643400,,introduction
306,106,22430268,"To assess the effectiveness of mindfulness-based stress reduction (MBSR) for mood, breast- and endocrine-specific quality of life, and well-being after hospital treatment in women with stage 0 to III breast cancer",introduction
307,106,22430268,,introduction
308,107,10322830,To investigate the effects of Modified Sijunzi decoction (MSJZD) in treating gastric pre-cancerous lesion,introduction
309,107,10322830,,introduction
310,108,12923794,"We conducted a randomised, controlled trial of cognitive-existential group therapy (CEGT) for women with early stage breast cancer receiving adjuvant chemotherapy with the aim of improving mood and mental attitude to cancer",introduction
311,108,12923794,,introduction
312,109,9640900,"To evaluate a psychoeducational intervention program for parents of pediatric cancer patients, using cognitive and behavioral techniques",introduction
313,109,9640900,,introduction
314,110,17879970,No study has yet assessed the impact of physicians' skills acquisition after a communication skills training program on changes in patients' and relatives' anxiety following a three-person medical consultation,introduction
