,pmid,introduction,methods,resultats,conclusion
10,23730723,Physical activity (PA) has been shown to provide health benefits for breast cancer patients. The effects of augmenting oncology health care provider (HCP) advice for PA with 3 months of telephone counseling versus contact control were evaluated in a randomized trial.,"After receiving brief HCP advice to become physically active, 192 women (age in years: M = 60.0, SD = 9.9) who had completed treatment for Stage 0-IV breast cancer were randomized to telephone counseling to support PA (n = 106) or contact control (n = 86). Their PA, motivational readiness, fatigue, and physical functioning were assessed at baseline (before receiving HCP advice), 3, 6, and 12 months.","Telephone counseling produced significant effects on the primary outcome of moderate-intensity PA of about 30 min/week at both 3 months (95% CI = 0.44, 57.32) and 6 months (95% CI = 3.06, 61.26). Intervention participants were also more than twice as likely as control participants to report improvements in achieving PA guidelines of at least 150 min/week at 3 (OR = 2.43, 95% CI = 1.18, 4.98) and 6 months (OR = 2.11, 95% CI = 1.00-4.48). Telephone counseling was significantly more effective than contact control in increasing motivational readiness for PA at all follow-ups (ORs = 3.93-6.28, all ps &lt;.003). No between-groups differences were found for fatigue, while differential improvements in physical functioning did not remain significant past 3 months (p = .01).","HCP advice plus telephone counseling improved PA among breast cancer patients at 3 and 6 months and also differentially improved patients' motivational readiness at all follow-ups, suggesting the potential for exercise promotion in cancer follow-up care."
11,17575569,This study aimed to assess the impact on physicians' detection of patients' and relatives' distress of six 3-h consolidation workshops (CW) following a 2.5-day communication skills basic training (BT) program and to investigate factors associated with detection of distress.,"Physicians, after BT, were randomized to CW or to a waiting list. Physicians' detection of patients' and relatives' distress was measured through differences between physicians' ratings of patients' and relatives' distress (VAS) and patients' and relatives' self-reported distress (HADS). Communication skills were analysed according to the CRCWEM.","Mixed-effects modelling of physicians' detection of patients' distress showed a positive group by time effect in favour of physicians in the CW group. Detection of patients' distress was associated negatively with patients' distress, positively with physicians' concurrent use of psychological assessment and supportive skills, and negatively with general assessment skills. Mixed-effects modelling of physicians' detection of relatives' distress showed no significant group by time effect. Detection of relatives' distress was associated negatively with relatives' distress and with general assessment skills.",CW following a 2.5-day BT are needed to improve physicians' detection of patients' distress in three-person interviews. Results indicate the need to further improve physicians' detection of relatives' distress.
12,24448757,"Evaluating the role of cystone, a polyherbal preparation, in protecting cancer patients against cisplatin-induced nephrotoxicity, and its impact on the cytotoxic activity of cisplatin.","A prospective open-label randomized controlled trial conducted on 49 cancer patients who received six cycles of 70 mg/m(2) cisplatin-based regimens. The study comprised two groups, a control group (A) in which 28 patients received cisplatin without cystone supplement, and an experimental group (B) in which 21 patients received cisplatin with cystone supplement. Renal function parameters including serum creatinine, creatinine clearance, blood urea, and serum cystatin C were compared between both groups throughout chemotherapy cycles. Patient response to treatment was evaluated in both groups after 3rd and 6th cycles.","At the end of the study, mean levels of serum creatinine, blood urea, and serum cystatin C were significantly lower, whereas creatinine clearance was significantly higher in group (B) compared with group (A). In group (B), there was no significant difference between mean levels of renal markers at baseline and after completion of treatment; while significant changes were observed in group (A). Grading of acute kidney injury according to Common Terminology Criteria for Adverse Events revealed significantly better renal status among patients in group (B) &quot;grades 0 and 1 in 76 and 24 % of the patients, respectively&quot; compared with group (A) &quot;grades 0, 1, and 2 in 36, 32, and 32 % of the patients, respectively&quot;. Based on Response Evaluation Criteria in Solid Tumors, there was no significant difference between both groups.",Cystone can protect cancer patients from cisplatin nephrotoxicity without interfering with its antitumor activity.
13,7651642,"To determine whether a clinic-based intervention, consisting of motivational brochures and a tracking system, increases adherence to recommendations for treatment in women with abnormal Papanicolaou smears.","Three pairs of clinics--two family planning clinics, two family practice clinics, and two dysplasia clinics--were randomized within pairs either to provide the intervention or to maintain usual contact procedures with women having abnormal Papanicolaou smears. Baseline adherence rates were assessed through chart review during 3 randomly selected months of the previous year. Intervention clinics received the tracking system and motivational brochures, which were sent to women on notification of their cervical abnormalities. Comparison clinics also used the tracking system but did not include the brochures when notifying women of their abnormalities. Adherence rates were assessed prospectively for approximately 100 consecutive nonpregnant women with abnormal Papanicolaou smears (inflammatory benign atypia, or cervical intraepithelial neoplasia I, II, or III) at each clinic.","Within clinics, baseline adherence rates ranged from 34-69% for atypia and 33-88% for dysplasia. For dysplasia patients, the overall analysis indicated a significant increase in adherence for the intervention clinics (P = .03); however, for atypia patients, the observed difference was not statistically significant (P = .23). Extensive analyses of the data from family planning clinics indicated that women receiving the intervention were more likely to obtain follow-up treatment (odds ratio [OR] 2.6, 95% confidence interval 1.15-5.85). There was a suggestion that the intervention could have a greater effect among African-American women (OR 15.7) compared with white women (OR 1.8) (P = .09). White women, those with dysplasia, nonsmokers, and nulliparas were most likely to adhere to treatment recommendations.",A motivational brochure can enhance adherence to treatment recommendations among women with abnormal Papanicolaou smears. Future studies should focus on techniques for enhancing adherence among more resistant participants.
14,28597253,"Oral agents for cancer treatment are increasingly prescribed due to their benefits. However, oral cancer medications are difficult to handle and have a considerable potential for side effects. This type of therapy requires a high level of self-management competence by the patient. A standardized patient education program provided by physicians and oncology nurses may positively influence the handling of oral agents. The aim of the study was to evaluate the impact of a standardized patient education program provided by specially trained oncology nurses on therapy management regarding side effects and unplanned therapy interruptions.","One hundred sixty-five patients from 28 office-based oncology practices from all over Germany participated in this cluster-randomized controlled study. Patients of both intervention (n\u00a0=\u00a0111) and standard care groups (n\u00a0=\u00a054) received the usual oncologist counseling; in addition, the patients from the intervention group (k\u00a0=\u00a017 practices) received an education from specially trained oncology nurses. The time of observation was 3\u00a0months per patient.","The patients of the intervention group reported fewer side effects (skin rash, pain, fatigue, nausea, vomiting). Patients in the standard care group interrupted the therapy more frequently without informing their oncologist, compared to the intervention group.",Patients benefit from a standardized patient education program provided by specially trained oncology nurses. They tend to handle side effects and critical situations better.
15,16030104,"Evidence of the chemopreventive effects of the dietary antioxidants alpha-tocopherol (vitamin E) and l-selenomethionine (selenium) comes from secondary analysis of two phase III clinical trials that found treatment with these antioxidants reduced the incidence of prostate cancer. To determine the effects of selenium and vitamin E in blood and prostate tissue, we undertook a preoperative feasibility study complementary to the currently ongoing Selenium and Vitamin E Cancer Prevention Trial.","Forty-eight patients with clinically localized prostate cancer enrolled on this 2 x 2 factorial design study were randomized to take selenium, vitamin E, both, or placebo for 3 to 6 weeks before prostatectomy. Sera were collected from patients before and after dietary supplementation. Thirty-nine patients were evaluable, and 29 age-matched disease-free men served as controls. Mass profiling of lipophilic serum proteins of lower molecular weight (2-13.5 kDa) was conducted, and mass spectra data were analyzed using custom-designed software.",Weighted voting analyses showed a change in sera classification from cancerous to healthy for some patients with prostate cancer after dietary intervention. ANOVA analysis showed significantly different treatment effects on prediction strength changes among the four groups at a 95% confidence level. Eliminating an outlying value and performing post hoc analysis using Fisher's least significant difference method showed that effects in the group treated with the combination were significantly different from those of the other groups.,"In sera from patients with prostate cancer, selenium and vitamin E combined induced statistically significant proteomic pattern changes associated with prostate cancer-free status."
16,16130584,To investigate the potential efficacy of bowel cancer prevention messages in increasing intentions to be more physically active.,"A convenience sample of 281 physically inactive persons aged 30-60 years was recruited in the Perth city centre and randomly assigned to a bowel cancer and physical activity message or a heart disease and physical activity message. After reading a booklet containing information about physical activity and its link either to bowel cancer (n = 141) or cardiovascular disease (n = 140), respondents filled in a self-completion questionnaire. The main response measures were impact on intentions to be more physically active, and perceived believability and relevance of the message.","Perceived believability of the message was high in both conditions. Perceived personal relevance of the message was substantially lower in the bowel cancer than the cardiovascular disease condition. Overall, the cardiovascular disease condition achieved somewhat higher behavioural intentions than the bowel cancer condition.",The finding that two in three respondents in the bowel cancer condition had increased intention to increase their level of physical activity provides support for the potential efficacy of promoting physical activity in reducing the risk of bowel cancer.
17,11380221,Xerostomia is a frequent and potentially debilitating toxicity of radiotherapy (XRT) for cancers of the head and neck. This report describes the use of acupuncture as palliation for such patients.,"Eighteen patients with xerostomia refractory to pilocarpine therapy after XRT for head and neck malignancy were offered acupuncture as palliation. All patients are without evidence of cancer recurrence at the primary site. Acupuncture was provided to three auricular points and one digital point bilaterally, with electrostimulation used variably. The Xerostomia Inventory (XI) was administered retrospectively to provide an objective measure of efficacy.",Acupuncture contributed to relief from xerostomia to varying degrees. Palliative effect as measured by the XI varied from nil to robust (pre- minus post- therapy values of over 20 points). Nine patients had benefit of over 10 points on the XI.,Acupuncture reduces xerostomia in some patients who are otherwise refractory to best current management.
18,30464699,"Physical function is important for defining treatment strategies in patients with cancer and can be estimated using patient-reported outcomes (pros). Although pros are subjective, physical activity and fitness can be tested objectively with adequate, but more labour-intensive methods that are rarely used in daily clinical practice. To determine whether pros for physical function (pro-pf) accurately predict physical function, we studied their interrelationships with objective measures of physical activity and fitness in patients with cancer who had completed cancer treatment, including adjuvant or neoadjuvant chemotherapy or autologous stem-cell transplantation.","Baseline data from the react (Resistance and Endurance Exercise After Chemotherapy) and exist (Exercise Intervention After Stem-Cell Transplantation) studies were evaluated. In those studies, the effects of an exercise intervention on physical fitness, fatigue, and health-related quality of life in patients with cancer shortly after completion of chemotherapy or stem-cell transplantation were studied. Interrelationships between pro-pf (physical function subscale of the European Organisation for Research and Treatment of Cancer 30-question core Quality of Life Questionnaire), physical activity (accelerometer), and cardiorespiratory fitness (peak oxygen uptake) were assessed using univariable and multivariable multilevel linear mixed-model analyses.","After adjustment for age, sex, and body mass index, the pro-pf was significantly associated with physical activity (\u03b2 = 1.75; 95% confidence interval: 1.08 to 2.42) and cardiorespiratory fitness (\u03b2 = 0.10; 95% confidence interval: 0.06 to 0.13). Standardized coefficients were 0.28 and 0.26 respectively, indicating a weak association.","The pro-pf is only weakly associated with objective physical activity and fitness evaluation in patients after curative treatment for cancer. The pro-pf cannot, therefore, be used in clinical practice as a substitute for objective measures of physical function."
19,28832310,Shared decision making (SDM) is widely encouraged by both the American Urological Association and Choosing Wisely for prostate cancer screening. Implementation of SDM is challenging secondary to time constraints and competing patient priorities. One strategy to mitigate the difficulties in implementing SDM is to utilize a decision aid (DA). Here we evaluate whether a DA improves a patient's prostate cancer knowledge and affects prostate-specific antigen (PSA) screening rates.,"Patients were randomized to usual care (UC), DA, or DA + SDM. Perception of quality of care was measured using the Consumer Assessment of Healthcare Providers and Systems (CAHPS) survey. Outcomes were stratified by long term provider relationship (LTPR, &gt; 3 years) versus short term provider relationship (STPR, &lt; 3 years). Knowledge of prostate cancer screening and the decision regarding screening were assessed. Groups were compared using ANOVA and logistic regression models.","A total of 329 patients were randomized. Patients in the DA + SDM arm were significantly more likely to report discussing the implication of screening (33% DA + SDM, 22% UC, 16% DA, p = 0.0292) and answered significantly more knowledge questions correctly compared to the UC arm (5.03 versus 4.46, p = 0.046). However, those in the DA arm were significantly less likely to report that they always felt encouraged to discuss all health concerns (72% DA, 78% DA + SDM, 87% UC, p = 0.0285). Interestingly, STPR patients in the DA arm were significantly more likely to undergo PSA-based prostate cancer screening (41%) than the UC arm (8%, p = 0.019). This effect was not observed in the LTPR group.","Providing patients a DA without a personal interaction resulted in a greater chance of undergoing PSA-based screening without improving knowledge about screening or understanding of the consequences of this decision. This effect was exacerbated by a shorter term provider relationship. With complex issues such as the decision to pursue PSA-based prostate cancer screening, tools cannot substitute for direct interaction with a trusted provider."
20,8602179,"Observational studies suggest that people who consume more fruits and vegetables containing beta carotene have somewhat lower risks of cancer and cardiovascular disease, and earlier basic research suggested plausible mechanisms. Because large randomized trials of long duration were necessary to test this hypothesis directly, we conducted a trial of beta carotene supplementation.","In a randomized, double-blind, placebo-controlled trial of beta carotene (50 mg on alternate days), we enrolled 22,071 male physicians, 40 to 84 years of age, in the United States; 11 percent were current smokers and 39 percent were former smokers at the beginning of the study in 1982. By December 31, 1995, the scheduled end of the study, fewer than 1 percent had been lost to follow-up, and compliance was 78 percent in the group that received beta carotene.","Among 11,036 physicians randomly assigned to receive beta carotene and 11,035 assigned to receive placebo, there were virtually no early or late differences in the overall incidence of malignant neoplasms or cardiovascular disease, or in overall mortality. In the beta carotene group, 1273 men had any malignant neoplasm (except nonmelanoma skin cancer), as compared with 1293 in the placebo group (relative risk, 0.98; 95 percent confidence interval, 0.91 to 1.06). There were also no significant differences in the number of cases of lung cancer (82 in the beta carotene group vs. 88 in the placebo group); the number of deaths from cancer (386 vs. 380), deaths from any cause (979 vs. 968), or deaths from cardiovascular disease (338 vs. 313); the number of men with myocardial infarction (468 vs. 489); the number with stroke (367 vs. 382); or the number with any one of the previous three end points (967 vs. 972). Among current and former smokers, there were also no significant early or late differences in any of these end points.","In this trial among healthy men, 12 years of supplementation with beta carotene produced neither benefit nor harm in terms of the incidence of malignant neoplasms, cardiovascular disease, or death from all causes."
21,27212181,"Breast fibroadenoma is a common finding in young women and actually accounts for the majority of benign breast lumps. Fibroadenoma does not require any treatment unless clinical symptoms (mostly mastalgia) or histological markers of cancer risk (atypia) impose specific medical or surgical intervention. In symptomatic fibroadenoma, anti-estrogenic treatments provided evidence of success. Yet, these therapies are often associated with relevant side effects that lead to drug treatment discontinuation. Additionally, in such cases, relapse is a frequent issue. Therefore, an optimal strategy is still warranted. Boswellia, betaine and myo-inositol have already been proved to modulate different pathways - inflammatory, metabolic, oxidative and endocrine processes - in a wide array of human tissues. Based on that background, we hypothesized that these substances can effectively synergize in inducing the regression of fibroadenoma.","We included 64 patients \u2264 30 years of age with fibroadenoma. The patients were randomized into two groups. The experimental group was treated with an association of Boswellia, betaine, myo-inositol, B-group vitamins and N-acetylcysteine for 6 months; otherwise, the placebo group was treated only with B-group vitamins and N-acetylcysteine. Patients were monitored at the enrollment and the end of the study for evaluating the clinical response.","A significant clinical improvement was observed in the experimental arm. Fibroadenoma median volume reduction averaged 17.86% in the experimental group and 5.96% in the placebo group. Moreover, 14 out of 36 (38.88%) patients showed a reduction of fibroadenoma volume compared to 5/28 (17.85%) observed in the placebo group (p = 0.005).","A supplementation with Boswellia, betaine and myo-inositol reduces fibroadenoma dimension in young women. No relevant side effects have been recorded."
22,14503054,"To observe the effect of Weichang'an (WCA, a Chinese preparation) in preventing post-operative metastasis of progressive stage of gastric cancer.","A prospective randomized, controlled study was conducted by dividing the 148 patients of progressive staged gastric cancer after radical operation into the WCA group, the chemotherapy (CT) group and the WCA + CT group, to observe the survival rate, metastasis rate, quality of life (QOF) and tumor-bearing survival time after relapse (TST) in patients.","The 1-, 2- and 3-year survival rate after operation in the WCA + CT group was 89.51%, 69.77% and 55.76% respectively, which was significantly higher than that in the CT group (83.86%, 59.33% and 49.43%) respectively (P &lt; 0.05), but showed insignificant difference as compared with that in the WCA group (93.23%, 79.34% and 71.78%). Only 1-year metastasis in the WCA group was 15.25%, and in the WCA + CT group was 15.52%, the two were significantly lower than that in the CT group (35.48%, P &lt; 0.05). But the comparison of 2-year metastasis rate among the 3 groups (28.81%, 41.38% and 45.16%) and 3-year metastasis rate among them (33.90%, 46.55% and 51.61%) were insignificantly different. The QOF and TST were markedly better in the WCA group than those in the CT group.",WCA has preventive effect on relapse and metastasis in post-operational gastric cancer patients.
23,30613055,The purpose of this study was to examine the effects of integrated psychoeducational program for distress management of newly diagnosed patients with breast cancer.,"A quasi-experimental trial was conducted. The participants consisted of 47 female patients with breast cancer assigned to an intervention group (n=25) and control group (n=22). The intervention group participated in integrated psychoeducational program, consisting of individual face-to-face education and telephone-delivered health-coaching sessions. Data were collected at three time points: pre-intervention (T1), post-intervention (T2), and 6-month follow-up (T3). Study instruments were Distress thermometer, Supportive Care Needs Survey Short Form 34 and Functional Assessment of Cancer Therapy-Breast.","Compared with the control group, breast cancer patients in the intervention group reported lower distress and supportive care needs than the control group. The intervention group reported higher quality of life (QOL) overall and higher emotional well-being than the control group.",These findings indicate that the integrated psychoeducational program is an effective intervention for reducing distress and supportive care needs and increasing QOL of newly diagnosed patients with breast cancer. Oncology nurses need to provide psychoeducational intervention to support patients with breast cancer in managing their distress and helping them adjust to their life.
