,Sentence,Word,Entity,postag,bio_tag
105,1,assigned,O,VBN,O
106,1,usual,O,JJ,O
107,1,care,O,NN,O
108,1,group.,O,NN,O
109,1,women,O,NNS,O
110,1,interventional,O,JJ,O
111,1,arms,O,NNS,O
112,1,received,O,VBN,O
113,1,tailored,O,VBN,O
114,1,information,O,NN,O
115,1,high-,O,NN,O
116,1,low-monitoring,O,NN,O
117,1,cognitive,O,NN,O
118,1,social,O,JJ,O
119,1,information,O,NN,O
120,1,processing,O,NN,O
121,1,model-defined,O,JJ,O
122,1,attentional,O,JJ,O
123,1,style.,O,NN,O
124,1,primary,O,NN,O
125,1,outcome,O,NN,O
126,1,crc,O,NN,O
127,1,screening,O,VBG,O
128,1,participation,O,NN,O
129,1,4,O,CD,O
130,1,months.,O,NN,O
131,1,clinicaltrials.gov,O,NN,O
132,1,identifier,O,NN,O
133,1,nct00459030.,O,NN,O
134,1,new,O,JJ,O
135,1,methods,O,NNS,O
136,1,enhance,O,NN,O
137,1,colorectal,DI,NN,B-DI
138,1,cancer,DI,NN,I-DI
139,1,crc,O,NN,O
140,1,screening,O,VBG,O
141,1,rates,O,NNS,O
142,1,needed.,O,NN,O
143,1,web,NPI,NN,B-NPI
144,1,offers,O,NNS,O
145,1,novel,O,NN,O
146,1,possibilities,O,NNS,O
147,1,educate,O,NN,O
148,1,improve,O,VB,O
149,1,health,O,NN,O
150,1,behaviors,O,NNS,O
151,1,cancer,DI,NN,B-DI
152,1,screening.,O,NN,O
153,1,evidence,O,NN,O
154,1,supports,O,NNS,O
155,1,efficacy,O,NN,O
156,1,health,O,NN,O
157,1,communications,O,NNS,O
158,1,targeted,O,VBN,O
159,1,tailored,O,VBN,O
160,1,improve,O,VB,O
161,1,uptake,O,NN,O
162,1,recommendations.,O,NN,O
163,1,web-based,O,JJ,O
164,1,educational,O,JJ,O
165,1,intervention,O,NN,O
166,1,effective,O,JJ,O
167,1,print-based,O,JJ,O
168,1,one,O,CD,O
169,1,educational,O,JJ,O
170,1,intervention,O,NN,O
171,1,increasing,O,VBG,O
172,1,crc,O,NN,O
173,1,screening,O,VBG,O
174,1,rates,O,NNS,O
175,1,women,O,NNS,O
176,1,average,O,JJ,O
177,1,risk,O,NN,O
178,1,crc.,O,NN,O
179,1,risk,O,NN,O
180,1,messages,O,NNS,O
181,1,tailored,O,VBN,O
182,1,attentional,O,JJ,O
183,1,style,O,NN,O
184,1,effect,O,NN,O
185,1,screening,O,VBG,O
186,1,uptake.,O,NN,O
187,1,average-risk,O,NN,O
188,1,populations,O,NNS,O
189,1,use,O,NN,O
190,1,internet,O,NN,O
191,1,health,O,NN,O
192,1,communication,NPI,NN,B-NPI
193,1,without,O,IN,O
194,1,additional,O,JJ,O
195,1,enhancement,O,NN,O
196,1,unlikely,O,JJ,O
197,1,improve,O,VB,O
198,1,screening,O,VBG,O
199,1,participation.,O,NN,O
200,1,total,O,JJ,O
201,1,904,O,CD,O
202,1,women,O,NNS,O
203,1,interventional,O,JJ,O
204,1,group.,O,NN,O
205,1,4,O,CD,O
206,1,months,O,NNS,O
207,1,crc,O,NN,O
208,1,screening,O,VBG,O
209,1,uptake,O,NN,O
210,1,significantly,O,RB,O
211,1,different,O,JJ,O
212,1,web,NPI,NN,B-NPI
213,1,12.2,O,CD,O
214,1,print,O,NN,O
215,1,12.0,O,CD,O
216,1,12.9,O,CD,O
217,1,group.,O,NN,O
218,1,attentional,O,JJ,O
219,1,style,O,NN,O
220,1,effect,O,NN,O
221,1,screening,O,VBG,O
222,1,uptake,O,NN,O
223,1,group.,O,NN,O
224,1,baseline,O,NN,O
225,1,participant,O,NN,O
226,1,factors,O,NNS,O
227,1,associated,O,VBN,O
228,1,greater,O,JJR,O
229,1,screening,O,VBG,O
230,1,including,O,VBG,O
231,1,higher,O,JJR,O
232,1,income,O,NN,O
233,1,p,O,NN,O
234,1,.03,O,NN,O
235,1,stage,O,NN,O
236,1,change,O,NN,O
237,1,p,O,NN,O
238,1,.001,O,NN,O
239,1,physician,O,NN,O
240,1,recommendation,O,NN,O
241,1,screen,O,NN,O
242,1,p,O,NN,O
243,1,.001,O,NN,O
244,1,.,O,.,O
245,2,self-reported,O,JJ,O
246,2,attitudes,O,NNS,O
247,2,intentions,O,NNS,O
248,2,tanning,O,VBG,O
249,2,behaviors,O,NNS,O
250,2,pathological,O,JJ,O
251,2,tanning,O,VBG,O
252,2,motives,O,NNS,O
253,2,assessed,O,VBN,O
254,2,questionnaire,O,NN,O
255,2,developed,O,NN,O
256,2,sad,O,NN,O
257,2,symptoms,O,NNS,O
258,2,assessed,O,VBN,O
259,2,seasonal,DI,JJ,B-DI
260,2,pattern,O,NN,O
261,2,assessment,O,NN,O
262,2,questionnaire.,O,NN,O
263,2,evaluate,O,NN,O
264,2,robustness,O,NN,O
265,2,appearance-focused,NPI,JJ,B-NPI
266,2,intervention,O,NN,O
267,2,prevent,O,NN,O
268,2,skin,DI,NN,B-DI
269,2,cancer,DI,NN,I-DI
270,2,individuals,O,NNS,O
271,2,reporting,O,NN,O
272,2,seasonal,DI,JJ,B-DI
273,2,affective,DI,JJ,I-DI
274,2,disorder,DI,NN,I-DI
275,2,sad,O,NN,O
276,2,symptoms,O,NNS,O
277,2,pathological,O,JJ,O
278,2,tanning,O,VBG,O
279,2,motives.,O,NN,O
280,2,appearance-focused,NPI,JJ,B-NPI
281,2,skin,DI,NN,B-DI
282,2,cancer,DI,NN,I-DI
283,2,prevention,O,NN,O
284,2,intervention,O,NN,O
285,2,robust,O,NN,O
286,2,enough,O,RB,O
287,2,reduce,O,VB,O
288,2,indoor,O,NN,O
289,2,tanning,O,VBG,O
290,2,among,O,IN,O
291,2,tanners,O,NNS,O
292,2,exhibit,O,NN,O
293,2,sad,O,NN,O
294,2,symptoms,O,NNS,O
295,2,pathological,O,JJ,O
296,2,tanning,O,VBG,O
297,2,motives.,O,NN,O
298,2,tailored,O,VBN,O
299,2,interventions,O,NNS,O
300,2,may,O,MD,O
301,2,address,O,NN,O
302,2,individuals,O,NNS,O
303,2,motivations,O,NNS,O
304,2,tanning,O,VBG,O
305,2,relation,O,NN,O
306,2,maladaptive,O,NN,O
307,2,behavior,O,NN,O
308,2,dissatisfaction,O,NN,O
309,2,appearance,O,NN,O
310,2,need,O,NN,O
311,2,relaxation,O,NN,O
312,2,anxiety.,O,NN,O
313,2,two,O,CD,O
314,2,4,O,CD,O
315,2,pathological,O,JJ,O
316,2,tanning,O,VBG,O
317,2,scales,O,NNS,O
318,2,opiatelike,O,NN,O
319,2,reactions,O,NNS,O
320,2,tanning,O,VBG,O
321,2,dissatisfaction,O,NN,O
322,2,natural,O,JJ,O
323,2,skin,DI,NN,B-DI
324,2,tone,O,NN,O
325,2,moderators,O,NNS,O
326,2,demonstrating,O,VBG,O
327,2,stronger,O,JJR,O
328,2,individuals,O,NNS,O
329,2,scoring,O,VBG,O
330,2,higher,O,JJR,O
331,2,scales.,O,NN,O
332,2,equivalently,O,RB,O
333,2,positive,O,JJ,O
334,2,ie,DI,NN,B-DI
335,2,moderator,O,NN,O
336,2,levels,O,NNS,O
337,2,sad,O,NN,O
338,2,symptoms,O,NNS,O
339,2,levels,O,NNS,O
340,2,2,O,CD,O
341,2,pathological,O,JJ,O
342,2,tanning,O,VBG,O
343,2,motive,O,NN,O
344,2,scales,O,NNS,O
345,2,ie,DI,NN,B-DI
346,2,perceiving,O,VBG,O
347,2,tanning,O,VBG,O
348,2,problem,O,NN,O
349,2,tolerance,O,NN,O
350,2,tanning,O,VBG,O
351,2,.,O,.,O
352,2,booklet,O,NN,O
353,2,discussing,O,VBG,O
354,2,history,O,NN,O
355,2,tanning,O,VBG,O
356,2,current,O,JJ,O
357,2,tanning,O,VBG,O
358,2,norms,O,NNS,O
359,2,uv,O,NN,O
360,2,radiation,O,NN,O
361,2,skin,DI,NN,B-DI
362,2,recommendations,O,NNS,O
363,2,indoor,O,NN,O
364,2,tanning,O,VBG,O
365,2,use,O,NN,O
366,2,focusing,O,VBG,O
367,2,abstinence,O,NN,O
368,2,harm,O,NN,O
369,2,reduction,O,NN,O
370,2,recommendations,O,NNS,O
371,2,information,O,NN,O
372,2,healthier,O,NN,O
373,2,appearance-enhancing,O,NN,O
374,2,alternatives,O,NNS,O
375,2,tanning.,O,NN,O
376,2,controlled,O,VBN,O
377,2,clinical,O,JJ,O
378,2,trial.,O,NN,O
379,2,college,O,NN,O
380,2,campus.,O,NN,O
381,2,four,O,CD,O
382,2,hundred,O,VBN,O
383,2,thirty,O,NN,O
384,2,adult,O,NN,O
385,2,female,O,NN,O
386,2,indoor,O,NN,O
387,2,tanners,O,NNS,O
388,2,200,O,CD,O
389,2,intervention,O,NN,O
390,2,group,O,NN,O
391,2,230,O,CD,O
392,2,participants,O,NNS,O
393,2,.,O,.,O
394,3,twenty-two,O,NN,O
395,3,percent,O,NN,O
396,3,group,O,NN,O
397,3,checked,O,NNS,O
398,3,skin,DI,NN,B-DI
399,3,visit,O,NN,O
400,3,compared,O,VBN,O
401,3,89,O,CD,O
402,3,condition,O,NN,O
403,3,thus,O,RB,O
404,3,ktrs,O,NN,O
405,3,receiving,O,VBG,O
406,3,intervention,O,NN,O
407,3,significantly,O,RB,O
408,3,likely,O,JJ,O
409,3,checked,O,NNS,O
410,3,skin,DI,NN,B-DI
411,3,χ,O,NN,O
412,3,2,O,CD,O
413,3,p,O,NN,O
414,3,.001,O,NN,O
415,3,.,O,.,O
416,3,among,O,IN,O
417,3,8,O,CD,O
418,3,ktrs,O,NN,O
419,3,checked,O,NNS,O
420,3,skin,DI,NN,B-DI
421,3,none,O,NN,O
422,3,found,O,NN,O
423,3,areas,O,NNS,O
424,3,concern.,O,NN,O
425,3,34,O,CD,O
426,3,intervention,O,NN,O
427,3,ktrs,O,NN,O
428,3,checked,O,NNS,O
429,3,skin,DI,NN,B-DI
430,3,12,O,CD,O
431,3,participants,O,NNS,O
432,3,35,O,CD,O
433,3,found,O,NN,O
434,3,areas,O,NNS,O
435,3,concern.,O,NN,O
436,3,12,O,CD,O
437,3,individuals,O,NNS,O
438,3,made,O,VBN,O
439,3,appointments,O,NNS,O
440,3,dermatologist,O,NN,O
441,3,follow-up.,O,NN,O
442,3,ktrs,O,NN,O
443,3,receptive,O,NN,O
444,3,performing,O,VBG,O
445,3,sse,O,NN,O
446,3,acted,O,VBN,O
447,3,recommendation,O,NN,O
448,3,made,O,VBN,O
449,3,workbook,O,NN,O
450,3,make,O,VB,O
451,3,appointment,O,NN,O
452,3,dermatologist,O,NN,O
453,3,concerning,O,VBG,O
454,3,lesion,O,NN,O
455,3,discovered.,O,NN,O
456,3,printed,O,VBN,O
457,3,educational,NPI,JJ,B-NPI
458,3,materials,O,NNS,O
459,3,initiated,O,VBN,O
460,3,tertiary,O,JJ,O
461,3,care,O,NN,O
462,3,center,O,NN,O
463,3,1,O,CD,O
464,3,year,O,NN,O
465,3,transplantation,O,NN,O
466,3,used,O,VBN,O
467,3,across,O,IN,O
468,3,continuum,O,NN,O
469,3,time,O,NN,O
470,3,ktrs,O,NN,O
471,3,may,O,MD,O
472,3,transferred,O,VBN,O
473,3,tertiary,O,JJ,O
474,3,care,O,NN,O
475,3,center,O,NN,O
476,3,community,O,NN,O
477,3,nephrologists.,O,NN,O
478,3,clinicaltrials.gov,O,NN,O
479,3,identifier,O,NN,O
480,3,nct01127737.,O,NN,O
481,3,develop,O,VB,O
482,3,easily,O,RB,O
483,3,disseminated,O,VBN,O
484,3,educational,NPI,JJ,B-NPI
485,3,materials,O,NNS,O
486,3,enable,O,JJ,O
487,3,early,O,RB,O
488,3,detection,O,NN,O
489,3,skin,DI,NN,B-DI
490,3,cancer,DI,NN,I-DI
491,3,examine,O,NN,O
492,3,effectiveness,O,NN,O
493,3,materials,O,NNS,O
494,3,promote,O,NN,O
495,3,skin,DI,NN,B-DI
496,3,self-examination,O,NN,O
497,3,sse,O,NN,O
498,3,among,O,IN,O
499,3,kidney,NPI,NN,B-NPI
500,3,transplant,NPI,NN,I-NPI
501,3,recipients,NPI,NNS,I-NPI
502,3,ktrs,O,NN,O
503,3,.,O,.,O
504,3,controlled,O,VBN,O
505,3,trial,O,NN,O
506,3,educational,NPI,JJ,B-NPI
507,3,intervention,O,NN,O
508,3,comparison,O,NN,O
509,3,group,O,NN,O
510,3,received,O,VBN,O
511,3,assessment,O,NN,O
512,3,education,O,NN,O
513,3,part,O,NN,O
514,3,usual,O,JJ,O
515,3,care,O,NN,O
516,3,nephrologist.,O,NN,O
517,3,academic,O,JJ,O
518,3,ambulatory,O,NN,O
519,3,nephrology,O,NN,O
520,3,practice.,O,NN,O
521,3,seventy-five,O,JJ,O
522,3,ktrs,O,NN,O
523,3,returning,O,VBG,O
524,3,routine,O,NN,O
525,3,care,O,NN,O
526,3,nephrologists,O,NNS,O
527,3,1,O,CD,O
528,3,1.2,O,CD,O
529,3,years,O,NNS,O
530,3,3,O,CD,O
531,3,7,O,CD,O
532,3,years,O,NNS,O
533,3,transplantation.,O,NN,O
534,3,educational,NPI,JJ,B-NPI
535,3,workbook.,O,NN,O
536,3,skin,DI,NN,B-DI
537,3,self-examination,O,NN,O
538,3,performance,O,NN,O
539,3,new,O,JJ,O
540,3,appointments,O,NNS,O
541,3,dermatologist,O,NN,O
542,3,concerning,O,VBG,O
543,3,skin,DI,NN,B-DI
544,3,lesion,O,NN,O
545,3,found,O,NN,O
546,3,.,O,.,O
547,4,ancillary,O,JJ,O
548,4,supplementation,O,NN,O
549,4,folate,NPI,NN,B-NPI
550,4,vitamins,NPI,NNS,I-NPI
551,4,b,O,NN,O
552,4,6,O,CD,O
553,4,b,O,NN,O
554,4,12,O,CD,O
555,4,andor,O,NN,O
556,4,omega-3,O,JJ,O
557,4,fatty,NPI,NN,B-NPI
558,4,acids,NPI,NNS,I-NPI
559,4,su.fol.om3,O,NN,O
560,4,secondary,O,JJ,O
561,4,prevention,O,NN,O
562,4,trial,O,NN,O
563,4,2003-2009,O,JJ,O
564,4,.,O,.,O
565,4,2501,O,CD,O
566,4,individuals,O,NNS,O
567,4,aged,O,VBN,O
568,4,45,O,CD,O
569,4,80,O,CD,O
570,4,years,O,NNS,O
571,4,2,O,CD,O
572,4,×,O,NN,O
573,4,2,O,CD,O
574,4,factorial,O,JJ,O
575,4,design,O,NN,O
576,4,one,O,CD,O
577,4,following,O,VBG,O
578,4,4,O,CD,O
579,4,daily,O,JJ,O
580,4,supplementation,O,NN,O
581,4,groups,O,NNS,O
582,4,1,O,CD,O
583,4,5-methyltetrahydrofolate,O,JJ,O
584,4,0.56,O,CD,O
585,4,mg,O,NN,O
586,4,pyridoxine,O,NN,O
587,4,hydrochloride,O,NN,O
588,4,vitamin,O,NN,O
589,4,b,O,NN,O
590,4,6,O,CD,O
591,4,3,O,CD,O
592,4,mg,O,NN,O
593,4,cyanocobalamin,O,NN,O
594,4,vitamin,O,NN,O
595,4,b,O,NN,O
596,4,12,O,CD,O
597,4,0.02,O,CD,O
598,4,mg,O,NN,O
599,4,2,O,CD,O
600,4,eicosapentaenoic,O,NN,O
601,4,docosahexaenoic,O,NN,O
602,4,acid,O,NN,O
603,4,600,O,CD,O
604,4,mg,O,NN,O
605,4,2,O,CD,O
606,4,1,O,CD,O
607,4,ratio,O,NN,O
608,4,3,O,CD,O
609,4,b,O,NN,O
610,4,vitamins,NPI,NNS,B-NPI
611,4,ω-3,O,NN,O
612,4,fatty,NPI,NN,B-NPI
613,4,acids,NPI,NNS,I-NPI
614,4,4,O,CD,O
615,4,placebo.,O,NN,O
616,4,overall,O,JJ,O
617,4,sex-specific,O,NN,O
618,4,hazard,O,NN,O
619,4,ratios,O,NNS,O
620,4,hrs,O,NN,O
621,4,95,O,CD,O
622,4,cis,O,NN,O
623,4,regarding,O,VBG,O
624,4,cancer,DI,NN,B-DI
625,4,outcomes,O,NNS,O
626,4,estimated,O,VBN,O
627,4,cox,O,NN,O
628,4,proportional,O,NN,O
629,4,hazards,O,NNS,O
630,4,models.,O,NN,O
631,4,5,O,CD,O
632,4,years,O,NNS,O
633,4,supplementation,O,NN,O
634,4,incident,O,NN,O
635,4,cancer,DI,NN,B-DI
636,4,validated,O,VBN,O
637,4,7.0,O,CD,O
638,4,sample,O,NN,O
639,4,145,O,CD,O
640,4,events,O,NNS,O
641,4,men,O,NNS,O
642,4,29,O,CD,O
643,4,women,O,NNS,O
644,4,death,O,NN,O
645,4,cancer,DI,NN,B-DI
646,4,occurred,O,VBD,O
647,4,2.3,O,CD,O
648,4,sample.,O,NN,O
649,4,association,O,NN,O
650,4,cancer,DI,NN,B-DI
651,4,outcomes,O,NNS,O
652,4,supplementation,O,NN,O
653,4,b,O,NN,O
654,4,vitamins,NPI,NNS,B-NPI
655,4,hr,O,NN,O
656,4,1.15,O,CD,O
657,4,95,O,CD,O
658,4,ci,O,NN,O
659,4,0.85-1.55,O,NN,O
660,4,andor,O,NN,O
661,4,ω-3,O,NN,O
662,4,fatty,NPI,NN,B-NPI
663,4,acids,NPI,NNS,I-NPI
664,4,hr,O,NN,O
665,4,1.17,O,CD,O
666,4,95,O,CD,O
667,4,ci,O,NN,O
668,4,0.87-1.58,O,NN,O
669,4,.,O,.,O
670,4,statistically,O,RB,O
671,4,interaction,O,NN,O
672,4,sex,O,NN,O
673,4,effect,O,NN,O
674,4,cancer,DI,NN,B-DI
675,4,risk,O,NN,O
676,4,among,O,IN,O
677,4,men,O,NNS,O
678,4,increased,O,VBN,O
679,4,cancer,DI,NN,B-DI
680,4,risk,O,NN,O
681,4,among,O,IN,O
682,4,women,O,NNS,O
683,4,ω-3,O,NN,O
684,4,fatty,NPI,NN,B-NPI
685,4,acid,O,NN,O
686,4,supplementation,O,NN,O
687,4,hr,O,NN,O
688,4,3.02,O,CD,O
689,4,95,O,CD,O
690,4,ci,O,NN,O
691,4,1.33-6.89,O,JJ,O
692,4,.,O,.,O
693,4,found,O,NN,O
694,4,beneficial,O,JJ,O
695,4,supplementation,O,NN,O
696,4,relatively,O,RB,O
697,4,low,O,JJ,O
698,4,doses,O,NNS,O
699,4,b,O,NN,O
700,4,vitamins,NPI,NNS,B-NPI
701,4,andor,O,NN,O
702,4,ω-3,O,NN,O
703,4,fatty,NPI,NN,B-NPI
704,4,acids,NPI,NNS,I-NPI
705,4,cancer,DI,NN,B-DI
706,4,outcomes,O,NNS,O
707,4,individuals,O,NNS,O
708,4,prior,O,RB,O
709,4,cardiovascular,O,NN,O
710,4,disease.,O,NN,O
711,4,trial,O,NN,O
712,4,registration,O,NN,O
713,4,isrctn.org,O,NN,O
714,4,identifier,O,NN,O
715,4,isrctn41926726.,O,NN,O
716,4,advance,O,NN,O
717,4,knowledge,O,NN,O
718,4,cancer-chemopreventive,O,JJ,O
719,4,potential,O,JJ,O
720,4,individual,O,JJ,O
721,4,nutrients,O,NNS,O
722,4,investigated,O,VBN,O
723,4,b,O,NN,O
724,4,vitamin,O,NN,O
725,4,andor,O,NN,O
726,4,ω-3,O,NN,O
727,4,fatty,NPI,NN,B-NPI
728,4,acid,O,NN,O
729,4,supplements,O,NNS,O
730,4,cancer,DI,NN,B-DI
731,4,outcomes,O,NNS,O
732,4,among,O,IN,O
733,4,survivors,O,NNS,O
734,4,cardiovascular,O,NN,O
735,4,.,O,.,O
736,5,1-year,O,JJ,O
737,5,period,O,NN,O
738,5,intervention,O,NN,O
739,5,likely,O,JJ,O
740,5,undergo,O,NN,O
741,5,crc,O,NN,O
742,5,screening,O,VBG,O
743,5,33.6,O,CD,O
744,5,vs,O,NN,O
745,5,20.0,O,CD,O
746,5,p,O,NN,O
747,5,.001,O,NN,O
748,5,screened,O,VBN,O
749,5,colonoscopy,O,NN,O
750,5,26.4,O,CD,O
751,5,vs,O,NN,O
752,5,13.0,O,CD,O
753,5,p,O,NN,O
754,5,.001,O,NN,O
755,5,adenomas,O,NN,O
756,5,detected,O,VBN,O
757,5,8.1,O,CD,O
758,5,vs,O,NN,O
759,5,3.9,O,CD,O
760,5,p,O,NN,O
761,5,.06,O,NN,O
762,5,.,O,.,O
763,5,prespecified,O,VBN,O
764,5,subgroup,O,NN,O
765,5,analyses,O,NNS,O
766,5,navigator,O,NN,O
767,5,intervention,O,NN,O
768,5,particularly,O,RB,O
769,5,beneficial,O,JJ,O
770,5,whose,O,WP$,O
771,5,primary,O,NN,O
772,5,language,O,NN,O
773,5,english,O,JJ,O
774,5,39.8,O,CD,O
775,5,vs,O,NN,O
776,5,18.6,O,CD,O
777,5,p,O,NN,O
778,5,.001,O,NN,O
779,5,black,O,JJ,O
780,5,39.7,O,CD,O
781,5,vs,O,NN,O
782,5,16.7,O,CD,O
783,5,p,O,NN,O
784,5,.004,O,NN,O
785,5,.,O,.,O
786,5,clinicaltrials.gov,O,NN,O
787,5,identifier,O,NN,O
788,5,nct01141114.,O,NN,O
789,5,patient,O,NN,O
790,5,navigators,O,NNS,O
791,5,may,O,MD,O
792,5,increase,O,NN,O
793,5,colorectal,DI,NN,B-DI
794,5,cancer,DI,NN,I-DI
795,5,crc,O,NN,O
796,5,screening,O,VBG,O
797,5,rates,O,NNS,O
798,5,among,O,IN,O
799,5,adults,O,NNS,O
800,5,underserved,O,JJ,O
801,5,communities,O,NNS,O
802,5,prior,O,RB,O
803,5,trials,O,NNS,O
804,5,small,O,JJ,O
805,5,conducted,O,VBN,O
806,5,single,O,JJ,O
807,5,sites,O,NNS,O
808,5,included,O,VBD,O
809,5,substantial,O,JJ,O
810,5,numbers,O,NNS,O
811,5,haitian,O,NN,O
812,5,creole-speaking,O,NN,O
813,5,portuguese-speaking,O,NN,O
814,5,patients.,O,NN,O
815,5,identified,O,VBN,O
816,5,465,O,CD,O
817,5,primary,O,NN,O
818,5,care,O,NN,O
819,5,4,O,CD,O
820,5,community,O,NN,O
821,5,health,O,NN,O
822,5,centers,O,NNS,O
823,5,2,O,CD,O
824,5,public,O,NN,O
825,5,hospital-based,O,JJ,O
826,5,clinics,O,NNS,O
827,5,up-to-date,O,JJ,O
828,5,crc,O,NN,O
829,5,screening,O,VBG,O
830,5,spoke,O,NN,O
831,5,english,O,JJ,O
832,5,haitian,O,NN,O
833,5,creole,O,NN,O
834,5,portuguese,O,JJ,O
835,5,spanish,O,JJ,O
836,5,primary,O,NN,O
837,5,language.,O,NN,O
838,5,enrolled,O,VBN,O
839,5,participants,O,NNS,O
840,5,september,O,NN,O
841,5,1,O,CD,O
842,5,2008,O,CD,O
843,5,march,O,NN,O
844,5,31,O,CD,O
845,5,2009,O,CD,O
846,5,followed,O,VBD,O
847,5,1,O,CD,O
848,5,year,O,NN,O
849,5,enrollment.,O,NN,O
850,5,randomly,O,RB,O
851,5,allocated,O,VBN,O
852,5,receive,O,NN,O
853,5,patient,O,NN,O
854,5,navigation-based,O,JJ,O
855,5,intervention,O,NN,O
856,5,usual,O,JJ,O
857,5,care.,O,NN,O
858,5,intervention,O,NN,O
859,5,received,O,VBN,O
860,5,introductory,O,NN,O
861,5,letter,NPI,NN,B-NPI
862,5,primary,O,NN,O
863,5,care,O,NN,O
864,5,provider,O,NN,O
865,5,educational,O,JJ,O
866,5,material,O,NN,O
867,5,followed,O,VBD,O
868,5,telephone,O,NN,O
869,5,calls,NPI,NNS,B-NPI
870,5,language-concordant,O,JJ,O
871,5,navigator.,O,NN,O
872,5,navigators,O,NNS,O
873,5,offered,O,VBN,O
874,5,option,O,NN,O
875,5,screened,O,VBN,O
876,5,fecal,O,JJ,O
877,5,occult,O,NN,O
878,5,blood,O,NN,O
879,5,testing,O,VBG,O
880,5,colonoscopy.,O,NN,O
881,5,primary,O,NN,O
882,5,outcome,O,NN,O
883,5,completion,O,NN,O
884,5,crc,O,NN,O
885,5,screening,O,VBG,O
886,5,within,O,IN,O
887,5,1,O,CD,O
888,5,year.,O,NN,O
889,5,secondary,O,JJ,O
890,5,outcomes,O,NNS,O
891,5,included,O,VBD,O
892,5,proportions,O,NNS,O
893,5,screened,O,VBN,O
894,5,colonoscopy,O,NN,O
895,5,adenomas,O,NN,O
896,5,cancer,DI,NN,B-DI
897,5,detected.,O,NN,O
898,5,patient,O,NN,O
899,5,navigation,O,NN,O
900,5,increased,O,VBN,O
901,5,completion,O,NN,O
902,5,crc,O,NN,O
903,5,screening,O,VBG,O
904,5,among,O,IN,O
905,5,ethnically,O,RB,O
906,5,diverse,O,NN,O
907,5,patients.,O,NN,O
908,5,targeting,O,VBG,O
909,5,patient,O,NN,O
910,5,navigation,O,NN,O
911,5,black,O,JJ,O
