,Unnamed: 0,Title,journalname,pmid,text,response
61,23907,Stepped care targeting psychological distress in head and neck cancer and lung cancer patients: which groups specifically benefit? Secondary analyses of a randomized controlled trial.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30915569,"Patients with distress but who are relatively doing well otherwise, benefit most from watchful waiting and guided self-help. The entire SC program is more effective in women, patients in the first year after treatment, patients with a higher level of distress or anxiety or depressive disorder, patients who are feeling ill, and patients with less speech problems. Patients without a psychiatric disorder, with better psychological outcomes (HADS: all scales) and better health-related quality of life (HRQOL) (EORTC QLQ-C30/H&N35: global QOL, all functioning, and several symptom domains) were more likely to recover after watchful waiting. Patients with better scores on distress, emotional functioning, and dyspnea were more likely to recover after guided self-help. Sex, time since treatment, anxiety or depressive disorder diagnosis, symptoms of anxiety, symptoms of depression, speech problems, and feeling ill at baseline moderated the efficacy of SC compared to CAU. In this randomized controlled trial, head and neck and lung cancer patients with distress (n = 156) were randomized to SC or CAU. Univariate logistic regression analyses were performed to investigate baseline factors associated with recovery after watchful waiting and guided self-help. Potential moderators of the effectiveness of SC compared to CAU were investigated using linear mixed models. Stepped care (SC), consisting of watchful waiting, guided self-help, problem-solving therapy, and psychotherapy/medication is, compared to care-as-usual (CAU), effective in improving psychological distress. This study presents secondary analyses on subgroups of patients who might specifically benefit from watchful waiting, guided self-help, or the entire SC program. NTR1868. Anxiety Depression Female Head and Neck Neoplasms Humans Lung Neoplasms Male Middle Aged Psychotherapy Psychotropic Drugs Quality of Life Stress, Psychological Watchful Waiting",1
62,23909,Emotion And Symptom-focused Engagement (EASE): a randomized phase II trial of an integrated psychological and palliative care intervention for patients with acute leukemia.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,31001692,"We designed a novel, manualized intervention called Emotion And Symptom-focused Engagement (EASE) for acute leukemia (AL) and report here on a phase II randomized controlled trial (RCT) to assess its feasibility and preliminary efficacy. EASE is feasible in patients newly diagnosed with AL and shows promise of effectiveness. These results warrant a larger RCT to provide evidence for its more routine use as a standard of care. Forty-two patients were randomized to EASE (n = 22) or UC (n = 20), with 76% retention at 12 weeks. Predefined feasibility outcomes were met: 86% (19/22) of EASE participants completed ≥ 50% of EASE-psy sessions (goal ≥ 64%); 100% received Edmonton Symptom Assessment System (ESAS, modified for AL) screenings, 64% (14/22) of whom completed ≥ 50% of planned screenings (goal ≥50%); and 100% with scores ≥ 4/10 on any physical ESAS-AL item had ≥ 1 meeting with the EASE-phys team (goal 100%). Significant treatment-group differences favoring EASE were observed in traumatic stress symptoms at 4 and 12 weeks, and pain intensity and interference at 12 weeks (all p < .05). Patients were recruited within 1 month of hospital admission and randomized to EASE plus usual care (UC) or UC alone. EASE includes (1) EASE-psy, a tailored psychotherapy delivered over 8 weeks, and (2) EASE-phys, weekly physical symptom screening over 8 weeks to trigger early palliative care. The primary outcome was traumatic stress symptoms; secondary outcomes included physical symptom burden and quality of life. Assessments were conducted at baseline and at 4, 8, and 12 weeks. Between-group differences were evaluated using multilevel modeling. Acute Disease Adult Aged Early Medical Intervention Emotions Feasibility Studies Female Hospitalization Humans Leukemia Male Middle Aged Palliative Care Patient Reported Outcome Measures Psychotherapy Quality of Life Stress, Psychological Symptom Assessment Young Adult",1
63,23910,Positive effects of acupressure bands combined with relaxation music/instructions on patients most at risk for chemotherapy-induced nausea.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30929028,"In breast cancer patients undergoing chemotherapy and having high CIN expectation, acupressure bands combined with a relaxation recording were effective in reducing CIN for patients who received doxorubicin or had high anxiety. Research by our group has shown that acupressure bands are efficacious in reducing chemotherapy-induced nausea (CIN) for breast cancer patients who expect nausea, and that their effectiveness in controlling CIN can largely be accounted for by patients' expectations of efficacy, i.e., a placebo effect. The present research examined if the effectiveness of acupressure bands could be enhanced by boosting patients' expectation of the bands' efficacy. Peak CIN for arms 1, 2, and 3 on a 1-7 scale was 3.52, 3.55, and 3.87, respectively (p = 0.46). Because no differences were observed between arms 1 and 2 (primary analysis), we combined these two arms (intervention) and compared them to controls for the following analyses. A significant interaction was found between intervention/control and receiving doxorubicin-based chemotherapy (yes/no) and pre-treatment anxiety (high/low). Intervention patients receiving doxorubicin had lower peak CIN than controls (3.62 vs. 4.38; p = 0.02). Similarly, intervention patients with high pre-treatment anxiety had a lower peak CIN than controls (3.62 vs. 4.62; p = 0.01). Two hundred forty-two chemotherapy-naïve patients with breast cancer who expected nausea were randomized. Arms 1 and 2 received acupressure bands, plus a relaxation MP3 and written handout that were either expectancy-enhancing (arm 1) or expectancy-neutral (arm 2). Arm 3 was the control without bands or MP3 and received standard care. All participants received guideline-specified antiemetics. Acupressure Adult Aged Antiemetics Antineoplastic Agents Breast Neoplasms Female Humans Middle Aged Music Therapy Nausea Relaxation Vomiting Young Adult",1
64,23911,Mood outcomes of a behavioral treatment for urinary incontinence in prostate cancer survivors.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30903368,"The main effect of daily leakage frequency at 3 months significantly predicted anxiety at 6 months (p < .01). The group main effect on any mood outcomes at 6 months was not statistically significant. The interaction between the group and 3-month leakage had a significant effect on anxiety; intervention subjects achieving a significant leakage reduction at 3 months exhibited significantly less anxiety at 6 months than other subjects (p = .04). Age, employment status, and receiving surgery at baseline were significantly associated with less anxiety, depression, and anger at 6 months. This study aimed to assess whether prostate cancer survivors who received a behavioral intervention to urinary incontinence had experienced a significant mood improvement. One hundred fifty-three prostate cancer survivors with persistent incontinence were included in this secondary data analysis. They were randomly assigned to usual care or interventions that provided pelvic floor muscle exercises and self-management skills. All subjects had measures of anxiety, depression, and anger at baseline, 3 months (post-intervention), and 6 months (follow-up). Negative binomial regression analysis was performed to examine the group status, daily leakage frequency at 3 months, and their interactions at 3 months as predictors for mood outcomes at 6 months, controlling for demographic and medical variables. Reduced urinary incontinence significantly predicted less anxiety, especially among the intervention subjects. The findings suggest a significant association between a behavioral therapy of urinary incontinence and anxiety reduction in prostate cancer survivors. Affect Aged Behavior Therapy Cancer Survivors Exercise Therapy Humans Male Middle Aged Prostatic Neoplasms Treatment Outcome Urinary Incontinence",1
65,23913,The ENHANCES study: a randomised controlled trial of a nurse-led survivorship intervention for patients treated for head and neck cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30941580,"A single-session nurse-delivered intervention is insufficient to improve the quality of life in HNC survivors compared with usual care. Provision of detailed written information about HNC survivorship is associated with improved physical well-being. ACTRN12613000542796. Quality of life of all groups decreased at 3 months but was close to baseline at 6 months. Compared with the usual care group, the only statistically significant mean difference at 6 months was for the information group on the physical well-being domain (mean difference 0.4, 95% - 1.8, 2.6, p < 0.05). Ten oncology nurses were trained to deliver the HNCP. The HNCP consisted of one face-to-face hour-long meeting in which the patient's treatment was recorded, as were contact details of health professionals involved in their care and follow-up schedules. Patients were guided to nominate up to three goals for their future well-being and assisted to devise an action plan to achieve these. The HNCP was given to the patient and a copy was forwarded to their primary care physician. One hundred and nine patients were randomised after definitive curative intent treatment, 36 to HNCP, 36 to receive information about survivorship, and 37 to usual care. The primary outcome, analysed by intention-to-treat, was change in quality of life measured by the FACT-H&N from baseline to 6-month follow-up. A randomised controlled trial was conducted to evaluate the effectiveness of a nurse-delivered Head and Neck Cancer Survivor Self-Management Care Plan (HNCP) for patients who had completed treatment for head and neck cancer (HNC). Cancer Survivors Female Head and Neck Neoplasms Humans Male Middle Aged Nurses Oncology Nursing Quality of Life Self Care Self Efficacy",1
66,23920,Effects of exercise on inflammation in patients receiving chemotherapy: a nationwide NCORP randomized clinical trial.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30937600,"This is a secondary analysis of a randomized trial studying 6 weeks of moderate-intensity walking and resistance exercise during chemotherapy compared with chemotherapy alone. At pre- and post-intervention, patients provided blood to assess serum concentrations of cytokines IL-1β, IL-6, IL-8, IL-10, and IFN-γ, and receptor sTNFR1. We investigated relationships between cytokines using the correlations between changes in cytokine concentrations from pre- to post-intervention. A growing body of research suggests that inflammation plays a role in many chemotherapy-related toxicities such as fatigue, anxiety, and neuropathy. Regular exercise can change levels of individual cytokines (e.g., reducing IL-6, increasing IL-10); however, it is not known whether exercise during chemotherapy affects relationships between cytokines (i.e., whether cytokine concentrations change collectively vs. independently). This study assessed how 6 weeks of exercise during chemotherapy affected relationships between changes in concentrations of several cytokines. Our hypothesis-generating work suggests that regular exercise during 6 weeks of chemotherapy may cause certain cytokine concentrations to change collectively (not independently). This work enhances our understanding of relationships between cytokines and complements traditional analyses of cytokines in isolation. Future work should test for replication and relationships to patient outcomes. Clinical Trials.gov, # NCT00924651, http://www.clinicaltrials.gov . We obtained complete data from 293 patients (149 randomized to exercise). Exercise strengthened the correlation between concentration changes of IL-10 and IL-6 (r = 0.44 in exercisers vs. 0.11 in controls; p = 0.001). We observed the same pattern for IL-10:IL-1β and IL-10:sTNFR1. Exercise also induced an anti-inflammatory cytokine profile, per reductions in pro-inflammatory IFN-γ (p = 0.044) and perhaps IL-1β (p = 0.099, trend-level significance). Antineoplastic Combined Chemotherapy Protocols Cytokines Exercise Female Humans Inflammation Male Middle Aged Neoplasms Peripheral Nervous System Diseases Walking",1
67,23923,Home-based rehabilitation in inoperable non-small cell lung cancer-the patient experience.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30982092,"Ninety-two participants were recruited (45 intervention group [IG], 47 usual care). Individual semi-structured interviews were conducted with participants randomised to the IG of a trial of home-based exercise, behaviour change and symptom management. Data were independently coded by two researchers, cross-checked and analysed using content analysis with a summary of arising themes. This home-based rehabilitation program was acceptable to most participants with multiple benefits reported including improved fitness, motivation and ability to manage symptoms. Exercise is important in lung cancer, yet most people do not meet the physical activity guidelines. The aim of this study was to characterise the views and experiences of participants with inoperable lung cancer who completed a home-based rehabilitation program. Of the IG (25/45), 55% were interviewed: mean (SD) age 67 (13) years; male 52%; disease stage n (%) III = 9 (36), IV = 11 (44); radical treatment intent n (%) 13 (52). The majority of participants reported program benefits, both in the physical domain (reduced sedentary time and improved strength, fitness and function) and the mental domain (motivation to keep healthy, preventing boredom). Support to self-manage symptoms was well received and many participants reported increased confidence in managing their symptoms. Exercise enablers included having expert health professional support; motivation to be stronger and better prepared for future challenges; and having an achievable and familiar program that was monitored. Treatment side-effects, pain from comorbidities and the weather were exercise barriers. For the majority of participants the use of a Fitbit™ activity tracker, text message exercise reminders and an exercise diary helped to promote adherence. Adult Aged Aged, 80 and over Carcinoma, Non-Small-Cell Lung Exercise Exercise Therapy Female Home Care Services Humans Interviews as Topic Lung Neoplasms Male Middle Aged Motivation Self-Management Standard of Care Symptom Assessment Text Messaging Treatment Outcome",1
68,23925,Multimodal exercise ameliorates exercise responses and body composition in head and neck cancer patients receiving chemotherapy.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30949831,"This is a randomized controlled trial. Eighty-four H&N patients were assigned to sedentary group or exercise group. The data were collected pretraining and posttraining, where the body composition, heart rate (HR), blood pressure (BP), rate-pressure product (RPP), and exercise capacity were measured. Our data reported that body weight and body mass index were decreased after 8 weeks of chemotherapy in the sedentary group but not in the exercise group. The decreased visceral fat and the increased skeletal muscle rate had been found in the exercise group after 8 weeks of training. In addition, in the exercise group, the HR, HR recovery, BP, BP recovery, RPP, and minutes walking distance were better than the sedentary group. Results from this study suggested exercise training significantly improved exercise responses and body composition. These findings suggested that exercise can help to promote cardiopulmonary fitness and exercise capacity for H&N cancer patients undergoing chemotherapy. Studies have found that many chemotherapy drugs will produce multiple side effects and complications in cancer patients, especially in the case of the cardiovascular disease. This study was intended to investigate whether the exercise training intervention could improve the body composition and exercise responses of patients with head and neck (H&N) cancer who are receiving chemotherapy. Blood Pressure Body Composition Body Mass Index Cardiorespiratory Fitness Exercise Exercise Therapy Female Head and Neck Neoplasms Heart Rate Humans Male Middle Aged Muscle, Skeletal",1
69,23930,"Music, heart rate variability, and symptom clusters: a comparative study.",Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,31049671,"Of the 50 women in each group, 46 in the SMI and 48 in the control group completed the post-test at T3. Multivariate analysis of variance indicated that the SMI group had a medium effect in change of symptom clusters compared to the control group at T2. Moreover, after adjusting for baseline between normal and higher levels of sympathetic tone activity, significant differences existed in fatigue and depression at T2 and sleep disturbance at T3. A parallel and randomized, controlled study with repeated measures design was used. A total of 100 women with breast cancer were randomly assigned to the SMI or a control group. The outcome measurements of symptom cluster were collected using the Multidimensional Fatigue Symptom Inventory, Pittsburgh Sleep Quality Index, the Hospital Anxiety and Depression Scale, and the neurological reactivity with heart rate variability at four time points: before commencement of the intervention (T0), immediately afterward (T1), 1 week later (T2), and 3 weeks after the intervention (T3). This study aimed to explore the possible range of change of a single-session music intervention (SMI) on symptom clusters and neurological reactivity for women with breast cancer undergoing chemotherapy. A single-session music intervention can be effectively used to reduce symptom clusters for women with breast cancer. Targeting those who have a higher level of sympathetic tone activity is recommended. Adult Anxiety Autonomic Nervous System Diseases Breast Neoplasms Depression Fatigue Female Heart Rate Humans Middle Aged Music Music Therapy Self Report Sleep Wake Disorders Surveys and Questionnaires Symptom Assessment Syndrome",1
70,23947,Community-based exercise programs for cancer survivors: a scoping review of practice-based evidence.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,31418074,"Based on randomized controlled trials, exercise is an efficacious strategy to improve quality of life (QOL) among cancer survivors. However, the effectiveness of exercise programs to improve QOL in real-world settings is unknown, as are factors related to external validity. This hinders dissemination and scalability. This scoping review synthesized published research on community-based exercise programs for cancer survivors and reported on the reach, effectiveness, adoption, implementation, and maintenance (RE-AIM). A systematic literature search identified community-based exercise programs for adult cancer survivors (1980-March 2018), that met the following inclusion criteria: at least one face-to-face exercise session, the primary aim of program evaluation (i.e., feasibility/effectiveness), and pre/post measure of QOL. Data were coded using the RE-AIM framework. The effect size was calculated for overall QOL. Community-based exercise programs are effective for improving QOL in adult cancer survivors. Recommendations are provided to improve reporting across RE-AIM dimensions, which is an important step to enhance the scalability of programs and thus, the potential for exercise to be fully integrated into system-level standard care for cancer survivors. Community-based exercise programs are a resource to improve QOL for adult cancer survivors. Electronic database search yielded 553 articles; 31 studies describing unique programs were included for review. All studies described at least one element of implementation and most (80.6%) reported a significant (p < .05) improvement in at least one subscale, or total QOL. Few studies reported on indicators of reach (16.1%), adoption (6.5%), individual (16.1%), or system-level maintenance (32.3%). Cancer Survivors Community Health Services Evidence-Based Medicine Exercise Exercise Therapy Humans Neoplasms Program Evaluation Quality of Life Randomized Controlled Trials as Topic",1
71,23948,Effects of relaxation on self-esteem of patients with cancer: a randomized clinical trial.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,31418073,"This randomized clinical trial was conducted on 80 patients with cancer. The samples were selected by convenience sampling method and were randomly divided into experimental and control groups. In the experimental group, the patients implemented relaxation techniques once a day for 30 min during 60 consecutive days in addition to receiving routine care, while patients in the control group received only routine care. Before and after the intervention, the Persian version of the Coopersmith Self-Esteem Inventory (CSEI) was completed. The relaxation seems to be potentially effective in promoting self-esteem of patients with cancer. Further studies, particularly randomized clinical trials with higher sample size and more power, are needed to confirm the obtained findings. Cancer is usually associated with decreased self-esteem. Relaxation is one of the most effective methods to promote self-esteem of patients with chronic diseases. Hence, the present study aimed to investigate the effects of relaxation on self-esteem of patients with cancer. After the interventions, significant differences were observed between groups in favor of the relaxation group in total score of CSEI and all its subscales (P = 0.0001). In the experimental group, a significant increase in total score and all subscales of CSEI was observed after the intervention (P = 0.001), whereas in the control group, a significant decrease was found in all dimensions (P = 0.001). Adult Cancer Survivors Female Follow-Up Studies Humans Male Middle Aged Neoplasms Personality Inventory Relaxation Therapy Self Concept Self Efficacy",1
72,23951,The use of stretching devices for treatment of trismus in head and neck cancer patients: a randomized controlled trial.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,31701267,"Patients were randomly assigned to one of two exercise groups: the TheraBite® Jaw Motion Rehabilitation System™ group or the Dynasplint Trismus System® group. Patients performed stretching exercises for 3 months. During the three study visits, maximal mouth opening was measured and the patients completed questionnaires on mandibular function and quality of life. In our study population (n = 27), five patients did not start the exercise protocol, eight patients discontinued exercises, and two patients were lost to follow-up. No significant differences regarding the change in mouth opening between the two devices were found. Patients had an increase in MMO of 3.0 mm (IQR - 2.0; 4.0) using the TheraBite® Jaw Motion Rehabilitation System™ and 1.5 mm (IQR 1.0; 3.0) using the Dynasplint Trismus System®. Exercising with either stretching device was challenging for the patients due to the intensive exercise protocol, pain during the exercises, fitting problems with the stretching device, and overall deterioration of their medical condition. The effects of the two stretching devices did not differ significantly in our study population. The factors described, influencing the progression of stretching exercises, need to be taken into account when prescribing a similar stretching regimen for trismus in head and neck cancer patients. To compare the effects of two stretching devices, the TheraBite® Jaw Motion Rehabilitation System™ and the Dynasplint Trismus System®, on maximal mouth opening in head and neck cancer patients. NTR - Dutch Trial Register number: 5589. Adolescent Adult Aged Aged, 80 and over Equipment Design Equipment and Supplies Exercise Exercise Therapy Female Head and Neck Neoplasms Humans Male Middle Aged Muscle Stretching Exercises Quality of Life Range of Motion, Articular Surveys and Questionnaires Trismus Young Adult",1
73,24206,"Effect of early oral feeding on length of hospital stay following gastrectomy for gastric cancer: a Japanese multicenter, randomized controlled trial.",Surgery today,29721714,"The subjects of this study were patients who underwent distal gastrectomy (DG) or total gastrectomy (TG) for gastric cancer between January 2014 and December 2015. Patients were randomly assigned to the early oral feeding group (intervention group) or the conventional postoperative management group (control group) for each procedure. We evaluated the length of postoperative hospital stay and the incidence of postoperative complications in each group. Early oral feeding did not shorten the postoperative hospital stay after DG. The higher incidence of postoperative complications precluded the unselected adoption of early oral feeding for DG patients. Further confirmative studies are required to definitively establish the potential benefits of early oral feeding for TG patients. No significant differences in length of postoperative stay were found between the intervention and control groups of the patients who underwent DG. The incidence of postoperative complications was significantly greater in the DG intervention group. In contrast, the length of postoperative stay was significantly shorter in the TG intervention group, although the TG group did not attain the established target sample size. This multicenter, randomized controlled study evaluates the safety of early oral feeding following gastrectomy, and its effect on the length of postoperative hospital stay. Adult Aged Enteral Nutrition Feeding Methods Female Gastrectomy Humans Incidence Length of Stay Male Middle Aged Postoperative Care Postoperative Complications Postoperative Period Stomach Neoplasms Time Factors Treatment Outcome",1
74,25120,"Efficacy of daikenchuto, a traditional Japanese Kampo medicine, for postoperative intestinal dysfunction in patients with gastrointestinal cancers: meta-analysis.",International journal of clinical oncology,31297704,"The Japan Society for Oriental Medicine makes a compilation of structured abstracts of randomized controlled trials (RCTs) of Kampo medicines available on its Evidence Reports of Kampo Treatment (EKAT) website. We found nine relevant RCTs. The mean differences between the daikenchuto group and control group (daikenchuto was not administered) were - 0.43 (95% CI: - 0.77 to - 0.09) days for the time to first postoperative flatus, - 0.29 (95% CI: - 0.59 to 0.01) days for the time to first postoperative BM, and - 0.95 (95% CI: - 1.70 to - 0.21) days for the length of postoperative hospital stay, and the risk ratio of the incidence of intestinal obstruction was 0.60 (95% CI: 0.35-1.03). The time to first postoperative flatus and the length of postoperative hospital stay were significantly shorter in the daikenchuto group than those in the control group (P = 0.01). However, only double-blind studies were evaluated; the results turned to be non-significant. As a result of meta-analysis by all retrieved according to the registered protocol, daikenchuto was efficacious in improving postoperative bowel dysfunction in patients with gastrointestinal cancers. However, limiting to articles with description of COI and blindness, significance disappeared. Using EKAT, we conducted a systematic review and meta-analysis on the efficacy of using daikenchuto ( https://mpdb.nibiohn.go.jp/stork ) for bowel dysfunction after surgery for gastrointestinal cancer. The primary outcomes were the time to first postoperative flatus and the time to first postoperative bowel movement (BM). Gastrointestinal Motility Gastrointestinal Neoplasms Humans Intestinal Diseases Length of Stay Medicine, Kampo Plant Extracts Postoperative Complications Postoperative Period Randomized Controlled Trials as Topic Treatment Outcome",1
75,25365,Effect of an Educational Video to Increase Calls and Screening into an Anal Cancer Clinical Trial Among HIV+ Hispanics in PR: Results from a Randomized Controlled Behavioral Trial.,AIDS and behavior,30467711," = 1.70, 95% CI 0.95-3.03; p = 0.07). This intervention could help increase participation of Hispanics into anal cancer-related CTs. Adult Anus Neoplasms Early Detection of Cancer Female HIV Infections Health Knowledge, Attitudes, Practice Health Promotion Hispanic Americans Humans Male Middle Aged Program Evaluation Puerto Rico Video Recording",1
76,25448,Long-term management of breast cancer-related lymphedema after intensive decongestive physiotherapy.,Breast cancer research and treatment,16826318,"During maintenance phase after intensive decongestive physiotherapy, compliance to the use of elastic sleeve and low stretch bandage should be required to stabilize lymphedema volume. Treatment of lymphedema is based on intensive decongestive physiotherapy followed by a long-term maintenance treatment. We analyzed the factors influencing lymphedema volume during maintenance treatment. Prospective cohort of 537 patients with secondary arm lymphedema were recruited in a single lymphology unit and followed for 12 months. Lymphedema volume was recorded prior to and at the end of intensive treatment, and at month 6 and month 12 follow-up visits. Multivariate models were fitted to analyze the respective role of the three components of complete decongestive therapy, i.e. manual lymph drainage, low stretch bandage, and elastic sleeve, on lymphedema volume during the 1-year maintenance phase therapy. Mean volume of lymphedema was 1,054 +/- 633 ml prior and 647 +/- 351 ml after intensive decongestive physiotherapy. During the 1-year maintenance phase therapy, the mean lymphedema volume slightly increased (84 ml-95% confidence interval [CI]: 56-113). Fifty-two percent of patients had their lymphedema volume increased above 10% from their value at the end of the intensive decongestive physiotherapy treatment phase. Non-compliance to low stretch bandage and elastic sleeve were risk factors for an increased lymphedema after 1-year of maintenance treatment (RR: 1.55 [95% CI: 1.3-1.76]; P < 0.0001 and RR: 1.61 (95% CI: 1.25-1.82); P = 0.002, respectively). Non-compliance to MLD was not a risk factor (RR: 0.99 [95% CI: 0.77-1.2]; P = 0.91). Adult Aged Aged, 80 and over Arm Bandages Breast Neoplasms Cohort Studies Drainage Exercise Female Follow-Up Studies Humans Longitudinal Studies Lymph Node Excision Lymphedema Massage Middle Aged Physical Therapy Modalities Prognosis Self Care Treatment Outcome",1
77,25461,A cognitive behavioral therapy intervention to promote weight loss improves body composition and blood lipid profiles among overweight breast cancer survivors.,Breast cancer research and treatment,17058023,"Seventy six women (89.4%) completed the intervention. Independent t-test to evaluate group differences at 16 weeks showed significant differences in weight, body mass index, percent fat, trunk fat, leg fat, as well as waist and hip circumference between intervention and control groups (P <or= 0.05). Furthermore, levels of triglycerides and total cholesterol/high density lipoprotein cholesterol levels were also significantly reduced following the intervention. These results indicate that 16 weeks of a CBT program for weight management may reduce obesity and CVD risk in overweight breast cancer survivors. Overweight or obesity is an established negative prognostic factor in breast cancer. Co-morbidities associated with obesity, including cardiovascular disease (CVD), may negatively impact quality of life and survival in this population. Our purpose was to determine the effect of a cognitive behavioral therapy (CBT) intervention for weight loss through exercise and diet modification on risk factors for recurrence of breast cancer, and risks for CVD associated with obesity. Eighty-five overweight or obese breast cancer survivors were randomly assigned to a once weekly, 16-week intervention or wait-list control group. The intervention incorporated elements of CBT for obesity, addressing a reduction in energy intake, as well exercise, with a goal of an average of 1 h a day of moderate to vigorous activity. Body weight, total and regional body fat (by dual energy X-ray absorptiometry), waist and hip circumference, and blood lipids were assessed at baseline and following 16 weeks of intervention. Adult Aged Blood Pressure Body Composition Body Mass Index Bone Density Breast Neoplasms Cholesterol, HDL Cholesterol, LDL Cognitive Behavioral Therapy Diet, Reducing Energy Intake Exercise Therapy Female Humans Menopause Middle Aged Overweight Risk Factors Survivors Weight Loss",1
78,26003,Randomized controlled trial of a clinic-based survivorship intervention following adjuvant therapy in breast cancer survivors.,Breast cancer research and treatment,23542954,"In 2006, the IOM released a report citing the importance of ""survivorship plans"" to improve quality of life and care coordination for cancer survivors, but little has been done to evaluate their efficacy. Women with early-stage breast cancer were randomized within 6 weeks of completing adjuvant therapy to a survivorship intervention group (SI) or control group (CG). All subjects were given the NCI publication, ""Facing Forward: Life after Cancer Treatment."" The SI also met with a nurse/nutritionist to receive a treatment summary, surveillance, and lifestyle recommendations. Both groups completed questionnaires on the impact of cancer (IOC), patient satisfaction (FACIT-TS-PS), and assessment of survivor concerns (ASC) at baseline, 3 and 6 months. Within and between group t tests and linear regression analyses were performed. Among 126 women (60 CG, 66 SI), mean age was 54 years, 48 % were Hispanic, and the groups were well-balanced by baseline characteristics. No significant differences between the CG and SI on the FACIT-TS-PS or IOC at 3 and 6 months were seen. The ASC health worry subscale was lower (less worry) in the SI compared to CG (p = 0.02). At all time-points, Hispanic women had higher (worse) health worry (p = 0.0008), social-life interference (p = 0.009), and meaning of cancer scales (p = 0.0004), and more trust in medical professionals (p = 0.03) compared to non-Hispanic women. While the SI did not lead to significant improvements in most patient-reported outcomes, it was associated with decreased health worry. Future interventions should determine the most efficient and effective method for delivering survivorship care plans. Breast Neoplasms Chemotherapy, Adjuvant Female Hispanic Americans Humans Middle Aged Patient Satisfaction Quality of Life Regression Analysis Surveys and Questionnaires Survivors",1
79,26162,Effectiveness of an additional individualized multi-component complementary medicine treatment on health-related quality of life in breast cancer patients: a pragmatic randomized trial.,Breast cancer research and treatment,25555830,"The aim of this study was to evaluate the effectiveness of an additional, individualized, multi-component complementary medicine treatment offered to breast cancer patients at the Merano Hospital (South Tyrol) on health-related quality of life compared to patients receiving usual care only. A randomized pragmatic trial with two parallel arms was performed. Women with confirmed diagnoses of breast cancer were randomized (stratified by usual care treatment) to receive individualized complementary medicine (CM group) or usual care alone (usual care group). Both groups were allowed to use conventional treatment for breast cancer. Primary endpoint was the breast cancer-related quality of life FACT-B score at 6 months. For statistical analysis, we used analysis of covariance (with factors treatment, stratum, and baseline FACT-B score) and imputed missing FACT-B scores at 6 months with regression-based multiple imputation. A total of 275 patients were randomized between April 2011 and March 2012 to the CM group (n = 136, 56.3 ± 10.9 years of age) or the usual care group (n = 139, 56.0 ± 11.0). After 6 months from randomization, adjusted means for health-related quality of life were higher in the CM group (FACT-B score 107.9; 95 % CI 104.1-111.7) compared to the usual care group (102.2; 98.5-105.9) with an adjusted FACT-B score difference between groups of 5.7 (2.6-8.7, p < 0.001). Thus, an additional individualized and complex complementary medicine intervention improved quality of life of breast cancer patients compared to usual care alone. Further studies evaluating specific effects of treatment components should follow to optimize the treatment of breast cancer patients. Aged Breast Neoplasms Combined Modality Therapy Complementary Therapies Female Humans Middle Aged Neoplasm Recurrence, Local Neoplasm Staging Quality of Life Risk Factors Treatment Outcome",1
80,26372,BRCAsearch: written pre-test information and BRCA1/2 germline mutation testing in unselected patients with newly diagnosed breast cancer.,Breast cancer research and treatment,29164420,"During the period Feb 2, 2015-Aug 26, 2016, eight hundred and eighteen patients were invited to participate in the study. Through Jan 31, 2017, five hundred and forty-two (66.2%) of them consented to analysis of BRCA1 and BRCA2. Eleven pathogenic mutations were found (BRCA1, n = 2; BRCA2, n = 9), corresponding to a mutation prevalence of 2.0%. Six out of 11 fulfilled the Swedish BRCA testing criteria, and 9 out of 11 fulfilled the NCCN testing criteria. None of the BRCA-associated tumors were of the luminal A-like subtype. Very few patients contacted us for telephone genetic counseling or practical questions, suggesting that a majority felt that the written pre-test information was sufficient for them to make a decision on testing. In a prospective, single-arm study, comprehensive BRCA1/2 testing was offered to unselected patients with newly diagnosed breast cancer at three hospitals in south Sweden (BRCAsearch, ClinicalTrials.gov Identifier: NCT02557776). Pre-test information was provided by a standardized invitation letter, but the patients could contact a genetic counselor for telephone genetic counseling if they felt a need for that. Noncarriers were informed about the test result through a letter. Mutation carriers were contacted and offered an appointment for in-person post-test genetic counseling. To evaluate a simplified method of pre-test information and germline BRCA1/2 mutation testing. Streamlining the process of pre-test information, genetic testing, and delivery of test results was feasible and was associated with an uptake of genetic testing in 2/3 of the breast cancer patients. Adult Aged Aged, 80 and over BRCA1 Protein BRCA2 Protein Breast Neoplasms Feasibility Studies Female Genetic Counseling Genetic Predisposition to Disease Genetic Testing Germ-Line Mutation Humans Middle Aged Patient Acceptance of Health Care Prospective Studies Sweden",1
