,Unnamed: 0,journalname,pmid,text,response
539,10017,Cancer,18286527,matched casecontrol evaluate frozen sock prevent docetaxelinduced onycholysis cutaneous foot receiving docetaxel mgm every eligible matched casecontrol wore fs right foot unprotected left foot acted nail skin toxicities assessed national institute common criteria version sample wilcoxon matchedpairs rank test adjusted tied values onycholysis occurs approximately docetaxel safety elastogel frozen sock fs investigated prevention docetaxelinduced nail skin feet fifty consecutive april january nail lower fsprotected foot foot skin fsprotected feet times occurrence found differ experienced discomfort cold intolerance cold fs reduced incidence docetaxelinduced foot nail previously demonstrated frozen gloves hands phytogenic casecontrol cryotherapy docetaxel evaluation topic followup foot diseases freezing nail diseases invasiveness onycholysis taxoids phytogenic taxoids docetaxel,1
663,12341,International journal of cancer,29569715,strategies offering homebased hpv selfsampling test participants flemish cervical screening program conducted evaluate different strategies offering hpvself sampling program participate flemish screening program hpv selfcollection brush riatol qpcr hpv genotyping test qpcr ee offered opportunity order hpvselfsampling brush recall letter intervention within mailing brush participated returning selfsample sample allocated opt standard recall letter pap smear taken within period without receiving intervention participation postmenopausal younger selfsampling arms screening means selfsample kit contradictory screening pap smear testing hrhpv attended cytology dna concentration found selfsampler decreased causing number inconclusive support selfsampling strategy increase participation flemish screening program selfsampling seems particularly acceptable postmenopausal nonresponders future research focus performance different selfsampling devices postmenopausal dna concentrations exponentially flemish cervical screening program human papilloma virus nonresponders selfsampling alphapapillomavirus belgium dna viral early detection mass screening papillomavirus infections acceptance self uterine cervical vaginal smears dna viral,1
667,12367,International journal of cancer,30325021,investigating lycopene green tea metabolome men prodiet randomised lycopene green tea metabolites altered lycopene supplementation acetate β standard deviation difference placebo valine β pyruvate β docosahexaenoic acid β valine diacylglycerol lower lycopene dietary advice β β genetically instrumented sd increase pyruvate odds intervention increase lycopene intake altered serum metabolome men lycopene lowered pyruvate mendelian randomisation suggests causally reduced mendelian randomisation dietary intervention green tea lycopene feeding behavior lycopene magnetic resonance spectroscopy metabolome metabolomics prostatespecific antigen prostatic pyruvic acid tea tea pyruvic acid prostatespecific antigen lycopene,1
668,12428,International journal of cancer,31032904,increasing participation cervical screening targeting longterm nonattenders services screening participation population essential optimal prevention cervical offering highrisk human papillomavirus hpv selftest previously shown increase participation services evaluated four strategies regard participation attended organized cervical screening eligible inclusion comprised resident ages screening target among longterm nonattenders either hpv selfsampling kit sent directly invitation order hpv selfsampling kit new open source ehealth web application invitation call coordinating midwife questions concerns iv standard annual renewed invitation letter prebooked appointment routine practice participation arm iv relative participation arm arm arm arm highrisk hpv prevalence among returned kits arms directly referred colposcopy arms attended highgrade cervical lesion cin histology targeting longterm nonattending sending offering opportunity order selfsampling kits participation organized screening program hpv cervical ehealth screening selfsampling early detection mass screening papanicolaou test papillomavirus infections self sweden telemedicine uterine cervical vaginal smears services,1
669,12437,International journal of cancer,31173341,exercise type longerterm patientreported outcomes healthrelated fitness aerobic resistance exercise different types doses exercise report longerterm followup patientreported outcomes healthrelated fitness exercise behavior postintervention multicenter canada initiating thrice weekly supervised exercise consisting standard aerobic exercise stan aerobic exercise aerobic resistance exercise comb duration outcomes patientreported outcomes including cancerrelated symptoms psychosocial outcomes secondary outcomes objective healthrelated fitness assessed selfreported exercise behavior participants completed patientreported outcomes followup points completed healthrelated fitness assessment month followup comb superior stan sleep month followup upper body muscular endurance month followup meeting resistance exercise guideline month followup moreover selfreported meeting exercise guideline followup better patientreported outcomes healthrelated fitness performing exercise result better longerterm patientreported outcomes healthrelated fitness performing aerobic exercise alone survivors exercise exercise behavior healthrelated fitness exercise reported measures,1
725,13356,Molecular carcinogenesis,30499618,vitamin calcium expression msh transforming growth normalappearing mucosa sporadic adenoma normalappearing rectal mucosa potential modifiable preneoplastic markers dna mismatch repair tgfα tgfβ biological markers calcium chemoprevention vitamin adenoma biomarkers calcium casecontrol colon dietary supplements doubleblind method followup gene expression regulation neoplastic muts homolog protein pilot projects prognosis rectum transforming growth alpha transforming growth beta vitamin vitamins biomarkers tgfa protein human tgfb protein human transforming growth alpha transforming growth beta vitamins vitamin msh protein human muts homolog protein calcium,1
727,13449,Medical and pediatric oncology,12116072,multicomponent behavioral intervention promote protective behaviors childhood survivors protect enrolled evaluable points similar regards diagnosis gender race change measures tt different assessed twosample pooled test additional exploratory analyses indicated gender difference knowledge survivors intervention scores addition choose certain individual goals breasttesticular selfexamination improved practice behavior addition exploratory gender difference intervention noted females exhibiting greater improvement knowledge scores males although multibehavioral educational intervention induce change knowledge perceptions behaviors childhood survivors whole gender differences specific goal differences found findings suggest future interventions tailored reflect gender differences nature goal assessment improved cure rates childhood produced growing population survivors late toxicities radiation healthy behaviors modify risks initiated determine multicomponent behavioral intervention could induce change childhood knowledge perceptions practice healthprotective behaviors adolescent survivors attending longterm followup clinic receive standard followup standard plus educational intervention baseline measures obtained randomization repeated later annual checkup adaptation psychological adolescent adolescent behavior diseasefree behavior knowledge attitudes practice promotion style longitudinal education topic sex,1
768,14309,Pediatric blood & cancer,29286560,modifying bone mineral density physical function children acute lymphoblastic leukemia healthrelated hrql assessed capacity physical motivationbased intervention beginning diagnosis continuing end positively modify child perceptions less bodily intervention delivered successful modifying bmd physical function hrql physical activity level intensity required modify feasible early owing responses future consider intervention implementation late maintenance extending survivorship bone mineral density healthrelated late pediatric acute lymphoblastic leukemia physical function adolescent bone density child child preschool muscle strength physical endurance physical modalities precursor lymphoblastic leukemialymphoma range motion articular,1
773,14331,Pediatric blood & cancer,29630779,scrambler safety neuropathic correlated chemotherapyinduced peripheral neuropathy adolescents preliminary studied nine pediatric cipn st daily sessions consecutive step required additional preliminary st could good choice adolescents cipn difficult st caused relief dramatic reduction cipn improvement durable followup caused detected side retrained successfully larger confirm promising preliminary pediatric improved comparing numeric scale st end optimized cycle eoc improvement reached interference general activity mood walking ability sleep relations people lansky score st eoc chemotherapyinduced peripheral neuropathy cipn common side need effective preliminary support scrambler st noninvasive cutaneous electrostimulation device adults cipn test safety durability st neuropathic adolescents cipn adolescent electrical stimulation neuropathic peripheral neuropathy scrambler adolescent child neuralgia management transcutaneous electric nerve stimulation,1
777,14501,Psycho-oncology,16991107,impact providing audiotapes consultations men multisite participants men newly diagnosed radiation oncologists centers canada block four consultation standard controlnot audiotaped audiotapedno audiotape given audiotapedpatient given audiotape audiotapedpatient offered choice receiving audiotape declined accepted outcomes measured postconsultation perceived degree information provision audiotape satisfaction communication satisfaction oncologist mood state cancerspecific receiving consultation audiotape reported provided information general information alternatives side particular receive audiotape audiotape benefit satisfaction communication mood state postconsultation affected choice receiving audiotape rated audiotape intervention positively average score purpose investigation systematically examine providing men audiotape consultation consultation audiotapes rated highly men audiotapes help enhance perception provided critical treatmentrelated information adaptation psychological canada communication participation satisfaction physicianpatient relations prostatic radiation oncology referral consultation tape recording,1
779,14514,Psycho-oncology,17575560,increasing skills eliciting responding emotional cues evaluation communication skills training program short training programme demonstrated aspects doctor behaviour videoconferencing short training course effective strategy delivering cst doctors intervention displayed creating environment fewer blocking behaviours followups differences reach statistical significance intervention doctors valued training highly report substantial reductions stress burnout psychological morbidity common often undetected untreated developed communication skills training cst program targeting issue evaluated impact doctor behaviour thirty oncologists six teaching hospitals six australian cities participated cst intensive facetoface workshop incorporating presentation principles dvd modelling ideal behaviour roleplay practice followed four h monthly videoconferences incorporating roleplay doctorgenerated scenarios doctors receive cst simulated interviews videotaped coded baseline cst later doctors completed questionnaires assessing stress burnout points burnout professional communication cues education expressed emotion medical oncology simulation physicianpatient relations surveys questionnaires,1
780,14692,Psycho-oncology,24590866,systematic patientreported outcomes survivors randomised direction future research systematic randomised systematic search four databases conducted identify articles published english chinese january july located electronic search manual search author search articles corresponding original identified interventions classified four broad categories according approaches psychoeducation case management exercise feedback pro pro measures covered different types pro measures including hrqol functional status symptom status wellbeing satisfaction outcomes interventions reported findings highlight outcomes interventions applied pro measures evaluate outcomes theorydriven careful design programme considered whole process developing delivering assessing programmes collaboration among clinicians researchers policy makers crucial ensure development effective accessible interventions targeting improving hrqol increasing expectations among growing interest patientreported pro measures particularly measures healthrelated hrqol practice purpose explore existing interventions coping terms intervention type pro measurements outcomes identify directions future research oncology patientreported outcomes randomised supportive interventions assessment topic survivors,1
781,14811,Psycho-oncology,28124799,intervention improve social skills pediatric brain survivors determine social skills intervention program improves social competence qol pediatric brain survivors pbts participating social skills intervention improve selfreported social competence persisted pbts given opportunity participate social skills improve social competence controls pbts intervention reported better empathy ssrs scores improvements persisting followup pbts intervention scores baseline reported greatest improvements proxy teacher reports intervention conducted pbts old allocated receive social skills training eg cooperation assertion social cognitive problem solving strategies role playing games arts crafts weekly hour sessions attention placebo games arts crafts outcomes selfreported proxyreported caregiver teacherreported social skills rating system ssrs measure social competence pediatric pedsql generic measure qol baseline intervention followup baseline ssrs stratified scores covariate brain survivors evidencebased practice oncology pediatric social competence social skills intervention adolescent behavior brain caregivers child evidencebased practice interpersonal relations problem solving social adjustment social behavior social skills survivors,1
782,14822,Psycho-oncology,28685892,peer led multimodal intervention men increase exercise participation exercise reduce morbidity increase improve qol effective ways encourage exercise outside carefully remain uncertain evaluated effectiveness peerled selfmanagement increasing exercise participation men localized peerled intervention effective increasing resistance exercise participation shorttomedium term number men achieving sufficient activity shortterm accompanied improvements qol psychological distress methods increase effectiveness maintain longterm adherence require investigation difference aerobicbased activity point resistance exercise month followup int qol relationships scores uc limitation selfreported assessment exercise four hundred sixtythree queensland australia monthly telephonebased peer support supported selfmanagement materials exercise equipment int usual uc participants assessed baseline outcomes compliance exercise guidelines secondary outcomes psychological distress qol exercise oncology peer support resistance exercise australia counseling exercise compliance peer prostatic queensland self social support telephone,1
783,14849,Psycho-oncology,29409128,acceptability satisfaction project move pragmatic feasibility aimed increasing physical activity survivors participants reported satisfied project move program appropriate bc survivors four main themes emerged focus acceptability satisfaction project move detailing value model developing tailored groupbase pa programs importance project move leaders highlighting value leader organized good communicator breaking barriers project move describing program helped address common bc barriers motivation move outlining microgrants enabled survivors active financial incentive motivated increase maintain pa mixedmethods design participants bc survivors support individuals month followup participants completed program evaluation questionnaire participated focus explore experience project move despite physical psychological benefits physical activity pa bc survivors bc survivors meeting minimum recommended pa guidelines objective evaluate acceptability satisfaction project move innovative approach increase pa among bc survivors microgrants financial incentives findings provide support acceptability project move strategy increasing pa among bc survivors communitybased intervention financial incentives promotion microgrants oncology physical activity survivorship survivors exercise feasibility focus motivation acceptance satisfaction program development surveys questionnaires,1
784,14862,Psycho-oncology,29766596,among diagnosed waitlist commercially available mobile appdelivered mindfulness training diagnosed amt wc followup conducted linear mixed models examine observation interactions qol dispositional mindfulness baseline intervention postintervention followup postbaseline findings suggest commercially available amt proffer benefit seeking enhance qol following diagnosis objective evaluate commercially available mobile appdelivered mindfulness training amt waitlist wc qol among diagnosed secondary dispositional mindfulness enrollment app utilization completion reported feasibility objectives mindfulness mobile applications oncology anxiety mindfulness mobile applications education topic stress psychological waiting lists,1
785,14863,Psycho-oncology,29785836,facing death alone together investigating interdependence death anxiety dysfunctional attitudes patientcaregiver dyads confronting cognitive theory anxiety arising awareness death dying activate dysfunctional attitudes reduce examined interdependence mediating role dysfunctional attitudes relationship death anxiety among caregivers death anxiety influences dysfunctional attitudes caregivers support relevance dysfunctional attitudes understanding impact death anxiety underscore need parallel psychosocial interventions death anxiety dependency β selfcontrol β achievement β selfcontrol β among caregivers death anxiety dysfunctional attitudes βs dependency β caregiver also selfcontrol β achievement β selfcontrol mediated links death anxiety caregiver relationship death anxiety mediated dependency caregivers march april pairs caregivers enrolled psychosocial support baseline actorpartner interdependence modeling analyze relationships among death anxiety dysfunctional attitudes caregiving death anxiety dyadic dysfunctional attitudes interdependence oncology adaptation psychological anxiety attitude death caregivers social support surveys questionnaires,1
786,14866,Psycho-oncology,29904989,psychosocial mediators dietary change among hispaniclatina survivors culturally tailored dietary intervention examine psychosocial mediators culturally tailored dietary intervention dietary change among hispaniclatina survivors hispaniclatina survivors receive either week theorybased culturally tailored dietary change program intervention standardofcare printed recommendations fruitvegetable intake fv calories fat hypothesized psychosocial mediators assessed baseline covariance assessed intervention psychosocial mediators mediation bootstrap method evaluated indirect intervention dietary intake changes psychosocial mediators controls intervention reported greater improvements stages change selfefficacy snack preference fsnack preference fv intervention reported decrease chanceoriented external locus mediation intervention increase servingday fv although indirect hypothesized psychosocial mediators intervention increase servingday fv improved tastesnack preference fv cis future programs target improving tastesnack preference fv promote dietary change hispaniclatina survivors hispanic dietary intervention mediation survivors diet feeding behavior behavior hispanic americans self,1
787,14868,Psycho-oncology,29956396,promis legacy measures supportive intervention caregivers experience evidence similar responsiveness supports either set measures symptoms functioning general populations differences promis legacy measures depression need considered choosing instruments supportive interventions practice similar conclusions intervention found promis legacy measures fatigue sleep anxiety physical social functioning different conclusions obtained caregiver depression legacy measures indicated reflexology promis depression measure accurate efficient measurement patientreported outcomes key symptom management newer reported outcomes measurement information system promis previously developed measures similar conceptual content legacy available measure symptoms functioning report compares performance sets measures promis legacy recently completed supportive intervention enrolled friend family caregivers patientcaregiver dyads either reflexology delivered caregivers usual postintervention promis legacy measures symptoms functioning analyzed relation arm adjusting baseline values responsiveness sets measures assessed sizes pvalues arm symptom functioning outcomes promis legacy measures measurement symptom management anxiety caregivers depression massage reported measures,1
788,14916,Psycho-oncology,12203747,initiated paper reports randomised assessing types outpatient previously remission standard clinic range initiated range latter method involved giving written information signs symptoms instructing telephone nurse encountered problems terms cancerspecific psychological morbidity recruitment satisfaction assessed details regarding contact healthcare professionals collected major differences psychological morbidity although standard clinic reported reassurance checked advantages whereas initiated reported convenience advantage initiated potential alternative standard clinic appears adverse could enable cost saving made attitude disclosure followup satisfaction surveys questionnaires,1
791,14929,Psycho-oncology,14745744,psychoeducational intervention wives men sixty wives completed measures prior random assignment either psychoeducational intervention notreatment month completion week psychoeducational intervention distress coping personal growth marital communication wives men diagnosed evaluated although psychoeducational intervention result changes psychological distress improvements adaptive coping indicators psychological growth found utility interventions spouses men discussed differences regard general distress cancerspecific distress noted comparison participants receiving intervention perceived spouse made contributions lives reported gains reappraisal coping reductions denial coping activities daily living adaptation psychological communication denial psychology marriage staging assessment personality inventory prognosis prostatic psychotherapy social support spouses,1
808,15002,The Prostate,16114063,plasma phytoestrogen concentrations oral phytoestogen supplementation forty men cap assigned radical prostatectomy clover phytoestrogens placebo daily week period operation phytoestrogens measured plasma tissue timeresolved fluoroimmunoassay trfia phytoestrogens suggested reduce cap exists oral phytoestrogen supplementation influences phytoestrogen concentrations tissue baseline phytoestrogen concentrations detectable plasma concentration equol oral supplementation phytoestrogens induced statistically fold increase tissue concentrations phytoestrogens genistein daidzein supplemented demonstrated tissue genistein daidzein concentrations twofold plasma interestingly even though placebo receive phytoestrogen challenge also demonstrated twofold tissue genistein daidzein concentrations plasma values suggesting concentrate available phytoestrogens addition supplementation supplemented detectable plasma equol concentration conclude tissue concentrate genistein daidzein elevation intraprostatic genistein daidzein concentrations achieved shortterm dietary phytoestrogen supplementation oral dietary supplements genistein isoflavones phytoestrogens phytotherapy placebos prostatectomy prostatic isoflavones phytoestrogens placebos daidzein genistein,1
815,15159,Phytotherapy research : PTR,28198055,traditional oriental herbal medicine natural killer systematic metaanalysis traditional oriental herbal medicine hm improve immunity natural killer nk development literature examined four electronic databases october evaluate oral hm nk pooled computed metaanalysis methodological assessed according cochrane bias tool sixteen involving identified hm conventional level nk conventional treatments standardized difference confidence interval eight reported statistically improvements proportions activity nk hm conventional conventional alone eight reported statistically differences insufficient evidence unclear values bias although traditional oriental hm preserving level nk receiving conventional treatments current evidence inconclusive lack highquality evidence,1
817,15214,Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,23780825,urinary incontinence progressive rehabilitation program design design implement rehabilitation program pelvic floor muscle training pfmt improve urinary incontinence ui improvement qol mediated indirectly improvement ui symptom improvement identified eg cg waist perimeter variables ui symptom intensity frequency difficulty limitation activity correlation ui qol sample formed participants intervention experimental eg cg variables studied waist perimeter variables evolution ui muscular strength qol measurements taken order evaluate changes statistical conducted studentfisher ttest mannwhitneywilcoxon test chisquare test urinary incontinence exercise pelvic floor muscle training program development program evaluation prostatectomy prostatic urinary incontinence,1
919,15498,Psycho-oncology,9205970,psychotherapeutic intervention psychosocial counseling studied longer amenable regular medical offered session individual experientialexistential counseling sessions lasting addition participated fortnightly counseling meetings five evaluable growth became stationary immediately following four stationary period last natural killer activity selfreported loneliness depression purpose locus change pre post intervention attitude depression immunity cellular internalexternal killer natural loneliness longitudinal medical futility psychotherapy,1
1108,16105,Preventive medicine,11071838,persistent increase sun protection community intervention communities proportion children sun protection baseline increases similar magnitude shortterm increases previously reported new hampshire towns addressed protective clothing shade sunscreen freshwater beach areas intervention provided initially march brief project followup contact provided schools centers beaches offices march restock intervention materials answer questions observations children june august observations made prior intervention june august intervention towns proportion children least sun protection proportion towns increase due sunscreen protective clothing shade caregivers children intervention towns reported receiving sun protection information school sources town caregivers reducing sun exposure childhood prevent skin later sun protection immediately following implementation sunsafe multicomponent communitybased intervention delivered schools centers offices beach recreation areas whether sun protection would remain preintervention following summer unknown child child centers child preschool behavior education new hampshire protective clothing radiation protection schools sunlight sunscreening sunscreening,1
1148,16442,International journal of public health,30539193,mortality living highparticipation areas populationbased check lifestyle intervention paper suggest among check lifestyle intervention increase lifestyle cancerrelated deaths highparticipation areas lifestylehr cancerrelated deaths hr among intervention regarding smokingrelated deaths differences even pronounced among men difference mortality seen intervention persons living areas copenhagen county denmark inter intervention persons intervention invited checks offered lifestyle counseling ischemic heart areas divided check participation persons followed registers causespecific mortality aim whether populationbased check lifestyle intervention differed according participation check lifestyle intervention mortality participation cardiovascular diseases counseling denmark style acceptance sex smoking socioeconomic,1
